1|9|0.35|0.3|0.3|FFBE9400
2|7|0|0|0|00000000
3|7|0|0|0|00000000
4|7|0|0|0|00000000
5|7|0|0|0|00000000
6|7|0|0|0|00000000
7|7|0|0|0|00000000
8|7|0|0|0|00000000
9|7|0|0|0|00000000
10|7|0|0|0|00000000
11|7|0|0|0|00000000
12|7|0|0|0|00000000
13|7|0|0|0|00000000
14|7|0|0|0|00000000
15|5|0.2|0.3|0.3|FFDB7E00
16|5|0.2|0.3|0.3|FFDB7E00
17|5|0.2|0.3|0.3|FFDB7E00
18|5|0.2|0.3|0.3|FFDB7E00
19|5|0.2|0.3|0.3|FFDB7E00
20|5|0.2|0.3|0.3|FFDB7E00
21|5|0.2|0.3|0.3|FFDB7E00
22|5|0.2|0.3|0.3|FFDB7E00
23|5|0.2|0.3|0.3|FFDB7E00
24|5|0.2|0.3|0.3|FFDB7E00
25|7|0.3|0.3|0.3|FFDB7E00
26|7|0.3|0.3|0.3|FFDB7E00
27|7|0.3|0.3|0.3|FFDB7E00
28|7|0.3|0.3|0.3|FFDB7E00
29|7|0.3|0.3|0.3|FFDB7E00
30|7|0.3|0.3|0.3|FFDB7E00
31|7|0.3|0.3|0.3|FFDB7E00
32|7|0.3|0.3|0.3|FFDB7E00
33|7|0.3|0.3|0.3|FFDB7E00
34|6|0.3|0.3|0.3|FFDB7E00
35|6|0.25|0.3|0.3|FFDB7E00
36|6|0.25|0.3|0.3|FFDB7E00
37|6|0.25|0.3|0.3|FFDB7E00
38|6|0.25|0.3|0.3|FFDB7E00
39|6|0.25|0.3|0.3|FFDB7E00
40|6|0.25|0.3|0.3|FFDB7E00
41|6|0.25|0.3|0.3|FFDB7E00
42|6|0.25|0.3|0.3|FFDB7E00
43|6|0.25|0.3|0.3|FFDB7E00
44|6|0.25|0.3|0.3|FFDB7E00
45|4|0.4|0.3|0.3|FFDB7E00
46|4|0.4|0.3|0.3|FFDB7E00
47|4|0.4|0.3|0.3|FFDB7E00
48|4|0.4|0.3|0.3|FFDB7E00
49|4|0.4|0.3|0.3|FFDB7E00
50|4|0.4|0.3|0.3|FFDE8700
51|4|0.4|0.3|0.3|FFDB7E00
52|4|0.4|0.3|0.3|FFDB7E00
53|4|0.4|0.3|0.3|FFEAB200
54|4|0.4|0.3|0.3|FFEAB200
55|7|0|0|0|00000000
56|7|0|0|0|00000000
57|7|0|0|0|00000000
58|7|0|0|0|00000000
59|7|0|0|0|00000000
60|7|0|0|0|00000000
61|7|0|0|0|00000000
62|7|0|0|0|00000000
63|7|0|0|0|00000000
64|7|0|0|0|00000000
65|5|0.46|0.3|0.3|FFEAB200
66|5|0.46|0.3|0.3|FFEAB200
67|5|0.46|0.3|0.3|FFEAB200
68|5|0.46|0.3|0.3|FFEAB200
69|5|0.46|0.3|0.3|FFEAB200
70|5|0.46|0.3|0.3|FFEAB200
71|5|0.55|0.3|0.3|FFEAB200
72|5|0.46|0.3|0.3|FFEAB200
73|5|0.46|0.3|0.3|FFEAB200
74|5|0.46|0.3|0.3|FFEAB200
75|5|0|0|0|00000000
76|7|0|0|0|00000000
10295|1|0|1|0|FFFFFFFF
10299|1|0|1|-1|FFFFFFFF
10301|1|0|1|0|FFFFFFFF
10303|1|0|1|0|FFFFFFFF
10305|1|0|1|0|FFFFFFFF
10307|1|0|1|0|FFFFFFFF
10309|1|0|1|0|FFFFFFFF
10312|1|0|1|-1|FFFFFFFF
10314|1|0|1|0|FFFFFFFF
10317|1|0|1|-1|FFFFFFFF
10321|1|0|1|-1|FFFFFFFF
10323|1|0|1|-1|FFFFFFFF
10325|1|0|1|-1|FFFFFFFF
10327|1|0|1|-1|FFFFFFFF
10339|1|0|1|0|FFFFFFFF
10340|1|0|1|0|FFFFFFFF
