()||<BIN>10</BIN><BGM>DJMAX_Miles</BGM>:……도전 성공.
소대 전원()<Speaker>소대 전원</Speaker>||:……
TMP(0)<Speaker>TMP</Speaker>||:우우…… +빨리…… 아무 말이나 좀 해주세요! +AEK——
AEK999(0)<Speaker>AEK999</Speaker>||:아…… 뭐랄까…… +확실히 너 다웠어, TMP.
M950A(0)<Speaker>M950A</Speaker>||:"이럴 줄 알았어……" 같은 느낌, 무슨 말을 해야 할지 모르겠어.
Thunder50(0)<Speaker>썬더</Speaker>||:(박수)추카추카.
TMP(0)<Speaker>TMP</Speaker>||:그런 뜻이 아니잖아요! +저…… 저를 아무도 원하지 않는 건 아니라고요!
K2(0)<Speaker>K2</Speaker>||:괘, 괜찮아, TMP! +모두 함께 널 도와줄게!
TMP(0)<Speaker>TMP</Speaker>||:우우…… +필요 없어요, 제가 직접 쟁취해낼 거예요! +으음…… 그러니까……
AEK999(0)<Speaker>AEK999</Speaker>||:더 이상 망상에 빠지지 마, TMP.
TMP(0)<Speaker>TMP</Speaker>||:에에?
AEK999(0)<Speaker>AEK999</Speaker>||:그저 '생각'만 한다면, 아무것도 변하지 않아. +네 마인드맵 속에 가득한 너만의 생각과 세계들을 조금씩 꺼내보는 게 어때?  +날 믿어, 너의 세계도 분명 변해갈 거야.
TMP(0)<Speaker>TMP</Speaker>||:…… +저는 저를 믿지 않지만, 당신을 믿을게요, AEK!
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:이 곡의 요정인 NB 레인저들도 그저 망상의 단계에서 멈추지 않고, 그 생각들을 행동으로 실천해냈어! +(조용히) 비록 그 행동들은…… 실천하지 않는 편이 좋았겠지만……
TMP(0)<Speaker>TMP</Speaker>||:네! 알겠어요! +저도…… 저도 행동으로 옮기겠어요! +클리어 씨, 제게 NB 레인저 분들을 소개해 주실 수 있나요?
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||<黑点1>:윽…… 조금 더 긍정적인 요정들을 소개해 줄게…… +(혼잣말로) 만약 TMP가 NB 레인저들을 만난다면, 대체 어떤 일이 생기려나…… +(혼잣말로) 안 돼, 깊게 생각하지 않는 게 좋겠어.
