()||<BIN>10</BIN><BGM>DJMAX_Miles</BGM>:...도전 성공.
DJMAXPREIYA(0)<Speaker>쌍둥이 요정</Speaker><Position>0,250</Position>||:......
Thunder50(0)<Speaker>썬더</Speaker>||:...... +너희... 계속 기다리고 있었구나. +...자신의 이름과 노래를.
DJMAXPREIYA(0)<Speaker>쌍둥이 요정</Speaker><Position>0,250</Position>||:프레이야, 그리고 카밀리아라고 해요. +저희의 이름과 노래가 떠올랐어요. +감사드립니다, 영원히 반복되던 밤이 드디어 끝났군요.
Thunder50(0)<Speaker>썬더</Speaker>||:너희들 중, 한 명은 인형이네.
DJMAXPREIYA(0)<Speaker>쌍둥이 요정</Speaker><Position>0,250</Position>||:저희의 운명이에요.
TMP(0)<Speaker>TMP</Speaker>||:알겠어요! +한 명이 인형이었기 때문에, 기계적으로 기억을 전달할 수 있었던 거예요. +그래서 당신들의 기억이 다른 요정들보다 많았고, 그래서... 더 많은 일들을 알고 있었군요.
AEK999(0)<Speaker>AEK999</Speaker>||:역시 TMP야, 추리는 기가막힌다니까.
FAIL(0)<Speaker>페일</Speaker>||:어머... 확실히 그 땐 여기까지 생각하지 못했어, 실수야 실수. 
DJMAXPREIYA(0)<Speaker>쌍둥이 요정</Speaker><Position>0,250</Position>||:이제 두렵지 않으신가요?
Thunder50(0)<Speaker>썬더</Speaker>||:...... +이제 괜찮아졌어.
()||:...썬더가 M950A를 바라봤고, M950A는 고개를 끄덕였다.
Thunder50(0)<Speaker>썬더</Speaker>||:무엇을 잃어버려도, 이제 나는 전력으로 되찾아올 거야. +고마워, 그때 나를 붙잡고, 이끌어 줘서.
DJMAXPREIYA(0)<Speaker>쌍둥이 요정</Speaker><Position>0,250</Position>||:새장에서 탈출할 수 있었던 건 당신이 용기를 냈기 때문입니다.
Thunder50(0)<Speaker>썬더</Speaker>||:모두의 도움이 없었다면, 나 같은 겁쟁이 혼자서는 해내지 못했을 거야.
()||:...쌍둥이 요정, 프레이야와 카밀리아가 웃은 듯했다. 
DJMAXPREIYA(0)<Speaker>쌍둥이 요정</Speaker><Position>0,250</Position>||:저희의 이야기도, 당신들의 이야기도 오늘 밤으로 끝은 아니겠죠. +현실에서 다시 뵙는 날을 기다릴게요, 하얀 인형 아가씨.
()||:...쌍둥이 요정이 사라졌다. 
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:보아하니 그게 너의 별명인 것 같네.
FAIL(0)<Speaker>페일</Speaker>||:후훗, 우리 모두 인형인데 말이지.
K2(0)<Speaker>K2</Speaker>||:하지만 난 알아, 썬더의 감정은 다른 사람들보다 조금도 모자라지 않다는 걸. +너는 이런 호칭도 괜찮아?
Thunder50(0)<Speaker>썬더</Speaker>||:괜찮아, 나는 이 별명이 맘에 들어. +난 이 별명을 기억하고... +이 별명과 짊어지고... 변할 수 있도록 노력할 거야.
()||:...모두가 서로를 마주 보고, 다함꼐 웃음을 터뜨렸다.
M950A(0)<Speaker>M950A</Speaker>||:그게 뭐야... +아무튼, 네 생각은 잘 알았어. +함께 노력하자, 썬더.
()||:...썬더는 고개를 끄덕였다.
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:좋았어! 모두의 봉인이 마침내 풀렸어! +아... 정말 고생 많았어!
FAIL(0)<Speaker>페일</Speaker>||:포터블의 요정들도, 모두 자신의 음악을 되찾았어. +내 아까운 시간을 많이 낭비했지만 말이야.
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:네가 제멋대로 저지른 일이잖아!
FAIL(0)<Speaker>페일</Speaker>||:알았어 알았어, 모두 내 잘못이야. +포터블에서 이 빚을 갚도록 노력할게. 클리어 너는 어쩔 거야?
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:나는 현실로 가서 그리폰의 인형들과 나를 응원해준 지휘관을 도와주려고. +이번 사건에서 모두에게 큰 신세를 졌어.
FAIL(0)<Speaker>페일</Speaker>||:흐흥, 그것도 괜찮겠지, 언제쯤이면 나도 요정들과 거들어줄게.+먼저 네가 네 이름과 음악을 현실에서 널리 울려퍼지게 한 다음에 말이지.
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:당연하지! 너도 바짝 긴장하고 있어! 내가 가끔 돌아와서 도시의 상황을 점검할 테니까!
FAIL(0)<Speaker>페일</Speaker>||:노력하기는 싫지만... +그래도 너와 그리폰 녀석들에게 또 당하고 싶지는 않으니까—— +아아, 농담이야, 나도 현실 세계에 얕보이고 싶지 않으니까.
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:후훗, 그렇게 나와줘야지.
()||:...클리어와 페일이 악수했다.
K2(0)<Speaker>K2</Speaker>||:이제 할 말은 다했어?
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||<黑点1>:응... +모두, 나를 현실로 데려가 줘! +너희들의 동료, 너희들의 지휘관, 더 많은 음악, 더 넓은 세계를 만나고 싶어!
