()||<BIN>10</BIN><BGM>DJMAX_Miles</BGM>:...도전 성공.
TMP(0)<Speaker>TMP</Speaker>||:아, 이게 바로...
AEK999(0)<Speaker>AEK999</Speaker>||:K2, 이게 바로 너를 봉인한 음악이야? 
K2(0)<Speaker>K2</Speaker>||:응... 난 이제 로그아웃을 할 수 있는 것 같아.
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:보아하니 이게 바로 페일이 너에 대해 내린 '정의'였나 보네. 
K2(0)<Speaker>K2</Speaker>||:정의?
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:페일이 이 세계에서의 네 존재를 어울리는 음악으로 표현한 거야. +빼앗긴 마인드맵은 이 곡이 자신의 전부라고 생각해서 새장에서 벗어나려 하지 않는 거지.
K2(0)<Speaker>K2</Speaker>||:바꿔 말하자면, 이 곡이 페일이 내게서 받은 인상이라는 건가?
AEK999(0)<Speaker>AEK999</Speaker>||:참 상냥하고 아름다운 인상이였나 보네.
Thunder50(0)<Speaker>썬더</Speaker>||:페일은 대장이 누구를 혼내는 걸 보지 못했으니까.
TMP(0)<Speaker>TMP</Speaker>||:엄청 무서워요! 아무도 말싸움에서 대장을 이기지는 못할 거예요!
M950A(0)<Speaker>M950A</Speaker>||:그렇지... 평소에도 좀 그렇게 하지, 그러면 내 일도 많이 덜 텐데 말이야.
K2(0)<Speaker>K2</Speaker>||:하하... 결국엔 내가 직접 혼내줬잖아. +그리고, 부드러움이란 건 원래 내면의 강함으로부터 나오는 거니까.
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||<黑点1>:후훗, 그 말 맘에 들어. +가자, 다음 봉인을 향해 출발!
