()||<BIN>10</BIN>:<color=#fff775>[도움말] 원활한 게임 진행을 위해 이어지는 스토리 가이드를 자세히 읽어주시기 바랍니다.</color>
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:잘 자, 페일....
TMP(0)<Speaker>TMP</Speaker>||:또 새로운 봉인을 풀 수 있게 됐어요.
K2(0)<Speaker>K2</Speaker>||:클리어, 네 왼손은... +그건 어떻게 된 거야?
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:이건... +이 도시의 요정들이 나한테 내린 벌이야.
Thunder50(0)<Speaker>Thunder50</Speaker>썬더/Speaker>||:벌?
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:포터블의 주민들이 풀이 죽고 실의에 빠질수록, 내 왼손의 부패가 점점 심해져.
M950A(0)<Speaker>M950A</Speaker>||:페일처럼... 말이야?
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:그래. 다시 말해서, 페일이 내 왼손에 살고 있다고 할 수 있지.
AEK999(0)<Speaker>AEK999</Speaker>||:페일과 넌... 같은 존재가 아니었던 거야?
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:나도 정확히는 모르겠지만, 우린 완전히 별개의 영혼이라고 생각해. +페일과 다시 만날 일이 있을지 모르겠지만.... +됐어, 잡담은 여기까지, 할 일을 마저 해야지!
()||:<color=#fff775>[도움말] 이 앞의 전투는 일반 전투와는 완전히 다르므로, 이어지는 설명을 자세히 읽어주시기 바랍니다.</color>+<color=#fff775>먼저, 돌발 상황을 방지하기 위해 [자동 스킬] 기능을 미리 꺼주시고, 게임 [옵션 - 음향]에서 배경음을 켜주시기 바랍니다. </color>+<color=#fff775>노트가 떨어져서 수평선에 닿는 순간, 정확히 해당하는 인형의 스킬 아이콘을 누르면, 그에 따른 싱크로율을 얻게 됩니다. </color>+<color=#fff775>그렇지 않을 경우, 인형들이 피해를 입게 됩니다. </color>+<color=#fff775>음악이 끝날 때까지 모든 인형이 파괴되지 않는다면 전투에서 승리하게 됩니다. </color>+<color=#fff775>마지막으로 안내드립니다, 돌발 상황을 방지하기 위해 [자동 스킬] 기능을 미리 꺼주시고, 게임 [옵션 - 음향]에서 배경음을 켜주시기 바랍니다.</color>
