()||<BIN>34</BIN><BGM>BGM_Boss</BGM>:......
디스트로이어()<Speaker>디스트로이어</Speaker>||:여기는 어디야?
??()<Speaker>??</Speaker>||:플레이어 여러분, 미래에 오신 것을 환영합니다.+여러분은 이곳에서 지금까지와는 다른 새로운 네트워크 가상 현실과...+...40년 전 인류가 남긴 로스트 테크놀로지를 즐기실 수 있습니다.
디스트로이어()<Speaker>디스트로이어</Speaker>||:드리머... 너야?+그만 시끄럽게 하고, 또 무슨 짓거리를 꾸미고 있는지 설명해.
BOSS-11(0)<Speaker>드리머</Speaker>||:후후훗, 네 새로운 몸이 절반 정도 완성된 걸 축하하러 왔을 뿐이야.
BOSS-11(0);BOSS-6(0)<Speaker>디스트로이어</Speaker><通讯框>||:뭐!? 이번엔 정말이지? 진짜로 정말인 거지!? +저번처럼 개나 돼지 같은 거로 날 속이는 거 아니지?
BOSS-11(0)<Speaker>드리머</Speaker>;BOSS-6(0)||:그래...+이번엔 추격 임무가 아니니까, 그렇게는 안 할 거야.
BOSS-11(0);BOSS-6(0)<Speaker>디스트로이어</Speaker>||:하아, 그러면 됐...+뭐? 자, 잠깐만, 방금 뭐라고 했어? 그럼 저번에는...
BOSS-11(0)<Speaker>드리머</Speaker>;BOSS-6(0)||:아무튼, 이번에는 정말로 네가 원하던 개조란다. (디스트로이어「야! 내 말 듣고있는 거야!?」)+기뻐하렴, 꼬마 아가씨. 드디어 네 소원이 이루어질 테니 말이야.
BOSS-11(0);BOSS-6(0)<Speaker>디스트로이어</Speaker>||:흥이다!... 새로운 몸을 가질 수만 있다면, 기뻐하는 게 당연하잖아!+비록 저번에 개로 변했던 것 때문에, 열정은 많이 떨어졌지만...+게다가 404녀석들은 이미 우리의 손안에 있어. 이런 상황에 강력한 몸이 있어봤자 얼마나 쓸모가 있겠냐구...
BOSS-11(0)<Speaker>드리머</Speaker>;BOSS-6(0)||:너무 그렇게 말하지는 마. 그년들은 아직 저항을 포기하지 않았어.
BOSS-11(0);BOSS-6(0)<Speaker>디스트로이어</Speaker>||:그래? 이미 3시간 동안이나 움직인 흔적이 없는걸.+게다가 네가 저번에 포위망을 뚫을 수 없을 거라 했으니, 어딘가에 처박혀서 죽기만을 기다리고 있는 거 아닐까?
BOSS-11(0)<Speaker>드리머</Speaker>;BOSS-6(0)||:디스트로이어... 넌 404 년들을 몰라도 너무 모르는구나...+과연 지금 도박을 하려 할까? 내가 아는 404소대는 궁지에 몰린다고 해서 멋대로 행동하는 년들이 아니야...+그러니까, 어딘가에 처박혀서 아무런 움직임을 보이지 않을 때야말로, 가장 위험한 거야.
()||:............드리머가 의자에 앉아 자신의 머리카락을 가지고 장난을 치기 시작했다.
BOSS-11(0)<Speaker>드리머</Speaker>;BOSS-6(0)||:생각할 수 있는 가능성은, 조금 전의 네트워크 공격으로 인해, UMP45가 숨을 고르고 있다는 거겠지...+그래... 지금 어떤 장소로 피한 후에, UMP45를 구할 방법을 생각하고 있을 거야. 그것만이 여기서 탈출할 유일한 희망이니까 말이지.
BOSS-11(0);BOSS-6(0)<Speaker>디스트로이어</Speaker>||:쳇. 궁지에 몰린 쥐가 최후의 발악을 하고 있는 것뿐이잖아. 그게 무슨 소용이 있다는 건데?
BOSS-11(0)<Speaker>드리머</Speaker>;BOSS-6(0)||:404 년들을 얕봐선 안 돼.+현재 404의 보급품은 충분하고, 도와주는 인형도 많아. 게다가 충분한 시간 동안 제대를 정비했으니, 새로운 무기와 함정을 준비해놨을 가능성도 있어.
BOSS-11(0);BOSS-6(0)<Speaker>디스트로이어</Speaker>||:네가 말하는 거... 조그마한 무인기 같은 걸 말하는 거야?+대형 무기만큼은 화력을 낼 수 없지만, 수가 많아서 제법 귀찮긴 하지.
BOSS-11(0)<Speaker>드리머</Speaker>;BOSS-6(0)||:그러니 이 이상 기지에서 기다리고 있을 수만은 없어. 디스트로이어, 네 개조가 끝나면 바로 출발하자.
BOSS-11(0);BOSS-6(0)<Speaker>디스트로이어</Speaker>||:알겠어!+아, 맞아. 요전번의 커다란 멍멍이... 아직 좀 남아 있어?
BOSS-11(0)<Speaker>드리머</Speaker>;BOSS-6(0)||:왜? 역시 그 몸이 그리워진 거니?
BOSS-11(0);BOSS-6(0)<Speaker>디스트로이어</Speaker>||:누가 그래!+그딴 걸로 변하는 건 최악이지만, 내 곁에 두고 있으면, 믿음직스러울 것 같아서...
BOSS-11(0)<Speaker>드리머</Speaker>;BOSS-6(0)||:후후, 알겠어. 너와 멍멍이는 잘 어울리는걸...+안심해. 아직 테스트 단계이기는 하지만, 너한테 다시 한 마리를 만들어 줄 테니까.+조금만 기다리면, 너의 새로운 몸과 하인이 곧 완성될 거야.
BOSS-11(0);BOSS-6(0)<Speaker>디스트로이어</Speaker>||:이번에는 절대로 틀리거나 하면 안 돼! 내가 깨어났을 때는 반드시 모든 철혈 위에 서 있는 인형이 돼 있어야 한단 말이야! 외모든 실력이든 말이지!
BOSS-11(0)<Speaker>드리머</Speaker>||<黑屏1>:예~ 예~ 분부하신 대로, 디스트로이어 아가씨. 조금만 더 기다려 주시죠.+그리고 작전 보고를 위해서, 404소대를 모조리 쓸어버렸으면 좋겠는데...+할 수 있겠지?
