()||<BIN>79</BIN><BGM>BGM_Room</BGM>:......
NPC-Havel(0)<Speaker>하벨</Speaker>||:그래서, 어디서부터 이야기를 해야 할까?+그래...... 재수 없게 뒤져버린 리코 얘기부터 먼저 시작할까?
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Havel(0)||:............+리코의 일은 저도 매우 유감입니다.
NPC-Kyruger(0);NPC-Havel(0)<Speaker>하벨</Speaker>||: 아니지, 아니야. 별로 유감일 것도 없어. 이건 운명이야. 하늘이 그에게 내려준 운명이란 말이야. 그저 그 녀석이 재수가 없어서 뒤로 자빠졌는데도 코가 깨졌을 뿐이야.+방금 분명 카터가 뭔가 필요하다고 했던 것 같은데? 그게...... "엘리사"라고 했던가?
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Havel(0)||:......그건 지금까지 줄곧 저희가 싸워왔던, 철혈을 지휘하는 AI입니다.
NPC-Kyruger(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:엘리사인가. 정말이지 좋은 이름이구만. 그런데 그게 정말로 그렇게나 중요한 건가? 군이 이렇게나 큰 소동을 벌여 처리해야 할 만큼 엘리사가 중요하다는 건가?
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Havel(0)||:이건 인형 기술의 미래를 위해서입니다. 군은 미래를 위해 더 좋은 인형 기술을 비축해놓을 필요가 있습니다.
NPC-Kyruger(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:하하하핫! 어이쿠야...... 크루거 씨......+자네는 정말로 카터가 말한 기술의 미래 같은 헛소리를 진지하게 믿는 겐가? 나 역시도 인형을 만드는 사람 중 하나일세. 그런데도 난 자아 연산을 하는 AI가 우리 회사의 직원들보다 얼마나 더 똑똑한지 잘 모르겠던걸.+그러니까 말이야, 그저 단순한 인형일 뿐이란 말일세...... 보병의 보조 장비로 도입된 게 수많은 전쟁을 겪은 그 늙은 여우들의 성에 차기나 하겠나?
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Havel(0)||:그 말씀은.......
NPC-Kyruger(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:철혈이 무슨 네트워크를 사용하고 있지? 그리고 엘리사는 어떤 물건을 기초로 설계되었지?
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Havel(0)||:오가스......? 지금 그 말씀은 카터 장군님께서 오가스 시스템을 가지고 싶어 하신단 말씀입니까? 하지만 그건 80년대에 이미 버려졌던 물건 아니었습니까?
NPC-Kyruger(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:바로 그 점일세. 우리가 80년대의 그 흐리멍덩한 놈들한테 지휘를 받지 않아도 된다는 게 천만다행이군 그래. 그랬다면 우리는 지금쯤 시베리아 벌판에서 감자나 캐면서 목숨을 연명하고 있었을지도 모르지.+내가 자네에게 알려줄 수 있는 건 이 물건이 어디 멀쩡한 곳에서 발굴해온 건 아니라는 걸세. 그곳은...... 오래전부터 모두가 매우 주목해왔었던 곳이야.
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Havel(0)||:......
NPC-Kyruger(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<黑屏1>:내 말은, 애초부터 이건 카터의 의지로 벌인 일이 아니라는 말일세.+카터는 말단 중에 말단일 뿐이고, 그 뒤에 있는 사람은...... 후후후......+자네도 알다시피 지금 국가를 초월하는 연맹이 조금씩 조금씩 완성되어가고 있네.+하지만 일부 보수 세력들이 항상 이 시대를 앞서간 전례 없는 위업을 막으려고 하고 있네. 그리고 승리의 여신은 언제나 더 많은 힘을 가지고 있는 쪽의 손을 들어주셨고 말이야.
()||<黑屏2><BIN>9</BIN>:............하벨이 크루거에게 다가갔다.
NPC-Havel(0)<Speaker>하벨</Speaker>||:내가 여기에 온 김에, 당신에게 충고를 하나 해주도록 하지. 절대 태풍 속을 날아다니는 새가 되지 마시게나.+태풍은 지나가는 길에 있는 모든 것을 빨아들이고 파괴할 걸세. 지나가던 작은 새 한 마리가 빨려 들어가든 말든 태풍은 신경조차 쓰지 않을 게야.
()||:............하벨은 몸을 일으켜 떠날 준비를 했다.
NPC-Havel(0)<Speaker>하벨</Speaker>||:자네 같은 큰 손을 잃게 된다면 나중에 있을 주주 회의 때 보고하기 힘들어지니까 말일세. 어찌 됐든 난 아직 더 많은 돈을 벌고 싶고, 노후도 편하게 보내고 싶다네.
크루거()<Speaker>크루거</Speaker>||<黑屏1>:......
()||<BGM>BGM_Empty</BGM><黑屏2><BIN>79</BIN>:............그때, 문이 열렸다.
NPC-Carter(0)<Speaker>카터</Speaker>||:오래 기다리게 했군, 이제 해겨...... 하벨!
NPC-Havel(0)<Speaker>하벨</Speaker>||<BGM>BGM_Sneak</BGM>:(크루거의 눈을 응시하며) 5분 걸릴 거라고 말했지?
NPC-Carter(0)<Speaker>카터</Speaker>||:역시 네 녀석이 한 짓이었군! 이딴 비열한 짓을 할만한 녀석은 네 녀석 외에는 없지!+하벨! 자네는 어떻게 이런 장소에서까지 내 얼굴을 팔리게 하는 짓거리를 하는 건가!
NPC-Havel(0)<Speaker>하벨</Speaker>||:어이구, 카터 장군님, 무슨 소리를 하시는 겁니까? 고귀하고 영광스러운 군인으로서, 장군님께서는 발언에 좀 더 신중하셔야 하는 게 아닌가 싶은뎁쇼.
NPC-Carter(0)<Speaker>카터</Speaker>||:지금 당장 내 눈앞에서 사라지도록 해. 지금 당장 네 고물 지팡이로 남은 다리 한 짝마저 부러뜨려버리기 전에 말이야!
NPC-Havel(0)<Speaker>하벨</Speaker>||:예이, 예이. 당신께서는 장군님이시고, 장군님께서 하시는 말에는 무조건 따라야 합죠. 그럼 이제 그만 가보겠습니다.
()||:............하벨이 크루거에게 다가갔다.
하벨()<Speaker>하벨</Speaker>||:난 그저 사람을 보내 응접용 자동차 바퀴에서 공기를 전부 빼놨을 뿐이야. 아, 자네 것은 빼고 말이지. 흐흐흐흐......
()||:............하벨은 몸을 일으켜 떠날 준비를 했다.
NPC-Havel(0)<Speaker>하벨</Speaker>||<黑屏1>:아, 그리고 거기에 있는 지휘관. 내가 자넬 지켜보고 있겠네. 곧 머지않아 다시 만나게 될 거라고 믿네.+그럼 모두, 나중에 인연이 되면 다시 만나도록 하세.
