()||<BIN>10</BIN>:
()<Speaker></Speaker>||<SE2>Gunfight</SE2>:타타탕!
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:으아아 죽겠다 죽겠다 죽겠어!+나 혼자 저렇게 많은 걸 어떻게 다 잡으란 거야!
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:삑.
P90(0)<Speaker>P90</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>안뇽 안뇽~ 아직 살아계십니까~?</color>+<color=#00CCFF>지원군이 도착——</color>
VSK(0)<Speaker>VSK94</Speaker><通讯框>||:<color=#00CCFF>SIG MCX, 지원하러 왔어.</color>
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:오오! 진짜 마침 잘 왔어!+근데 지휘관이 뭐라 더 안 하대?
VSK(0)<Speaker>VSK94</Speaker><通讯框>||:<color=#00CCFF>딱히. 우린 지금 합류하려고 목표 지점으로 이동 중이야.</color>+<color=#00CCFF>임무 목표는 간단해. 한 놈도 살려 보내지 말 것.</color>
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:하, 말이야 쉽지...
P90(0)<Speaker>P90</Speaker><通讯框>||:<color=#00CCFF>헤헷, 다 이몸에게 맡기시라! "하늘이시여, 우리 지휘관을 보우하소서. 승리와 영광을――</color>
()<Speaker>SIG MCX & VSK94</Speaker>||:그 대사는 따라하지 마!!
