()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<BIN>157</BIN><BGM>BGM_Danger</BGM><黑屏2>:
()||:결국 HK416에게 【레드존】에서 신호탄을 쏘기로 하였다.
AN94(2)<Speaker>AN94</Speaker>||:안젤리아, 저기 신호탄이다!
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||:그리폰의 제식 신호탄이야, 지휘관이 유도해주고 있어!
AN94(4)<Speaker>AN94</Speaker>||:하지만... 저긴 레드존이다. 안젤리아... 이건 현명한 선택이 아니라고 본다.
AK12(2)<Speaker>AK12</Speaker>||:안젤리아... 아마 안전지대까지 버티지 못할 거야.
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||:크윽... 괜찮아... 한 번 해보겠어.
AN94(4)<Speaker>AN94</Speaker>||:의지만으로 견뎌낼 수 있는 일이 아니다.
AK12(2)<Speaker>AK12</Speaker>||:계기판에 따르면 지금 이 구역의 오염도도 점점 높아지고 있어, 레드존에 들어갔다간 증상이 더욱 심각해질 뿐이야.
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||:그만큼 시간이 없단 뜻이야, 서둘러!
AN94(4)<Speaker>AN94</Speaker>||:가자, AK12. 감염자가 늘어나고 있다, 더 이상 지체할 수는 없다.
AK12(2)<Speaker>AK12</Speaker>||:빨리 옐로우존으로 방향을 틀어!
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||:지휘관을 믿어! 으윽... 빠, 빨리!
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker><Shake>||:지휘관이... 콜록... 기다리고...
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker><Shake>||:AK12, AN94... 콜록...
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker><Shake>||<黑屏1>:만약에... 그러면... 알고있겠지...+콜록... 켁켁...! 카아악!
()||<BIN>10</BIN><黑点2>:
