()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:......
()||<黑屏2><SE1>AVG_Water_Drip</SE1>:똑... 똑...+어두컴컴한 공장 안, 파열된 파이프에서 떨어지는 물은 바닥에 고여 웅덩이가 되었다.+싸늘한 공기는 뼛속까지 스며들어, 숨만 쉬기만 해도 가슴이 바늘에 찔리듯 아팠다.
()<Speaker>마흐리안</Speaker>||<黑屏1>:...엘사.
()<Speaker></Speaker>||<BIN>229</BIN><黑屏2><BGM>m_avg_labyrinth</BGM>:유일하게 빛이 들어오는 곳에, 산처럼 쌓인 시체 더미에 파묻힌 소녀가 있었다.
()<Speaker>마흐리안</Speaker>||:엘사... 기다려, 조금만 참아...+언니가 금방 약을 만들어 줄게...
()<Speaker></Speaker>||:천장에서 뻗어 나온 수액관들 끝의 뾰족한 바늘이, 마흐리안의 살을 파고들었다.
()<Speaker>마흐리안</Speaker>||:윽!
()<Speaker></Speaker>||:피가 뽑혀 나간다.+주삿바늘은 마치 거머리처럼 마흐리안의 몸에서 양분을 약탈했다.+한 발짝 나아갈수록, 천장에서 더 많은 수액관이 뻗어졌다.
()<Speaker>마흐리안</Speaker>||:엘...사...
()<Speaker></Speaker>||<SE1>Heartbeat</SE1>:털썩!+온몸에 박힌 바늘의 무게를 버티지 못하고, 마흐리안은 쓰러졌다.+하지만 힘을 쥐어짜내, 앞으로 기어나갔다.+조금만 더... 조금만 더 가면, 그 소녀의 어깨에 손이 닿는다.
()<Speaker>마흐리안</Speaker>||:......!!
()<Speaker></Speaker>||:탁한 웅덩이의 수면에 자신의 얼굴이 비쳤다.+몸에서 체액이 모조리 뽑혀 나간 마흐리안의 몰골은 흡사 미이라 같았다.
()<Speaker>알 수 없는 목소리</Speaker>||:넌 괴물이야...+사람의 시체로 만들어진 괴물!
()<Speaker>마흐리안</Speaker>||:아니야... 아니야...!+난 괴물이 아니야!
NPC-Lilyan(0)<Speaker>엘사</Speaker>||:성녀... 언니...?
NPC-Lilyan(0);NPC-Machlian(6)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||:엘사!
NPC-Lilyan(0);NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:마흐리안이 고개를 번쩍 들었다. 하지만 엘사의 얼굴을 본 순간, 심장이 멈췄다.+소녀의 얼굴은 부식되어 피가 철철 흐르고, 점점 규소화되어 가는 피부가 한없이 연약한 육체를 자비없이 찢어발겼다.
NPC-Lilyan(0)<Speaker>엘사</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:언니... 나 아파...
NPC-Lilyan(0);NPC-Machlian(6)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||<黑屏1>:엘사...
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||<黑屏2><BIN>9</BIN><SE1>Heartbeat</SE1>:꼬르륵——+갑자기 물웅덩이에서 검게 썩은 손들이 뻗어 나와, 엘사를 깊은 심연으로 끌고 들어갔다.
NPC-Machlian(7)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||:안 돼!!
