()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:......
NPC-Shadowless(9)<Speaker>섀도리스</Speaker>||<BGM>BGM_Room</BGM><黑屏2><BIN>97</BIN>:저기 잠깐만!
NPC-Shadowless(9)<Speaker></Speaker>||<SE1>RunStep</SE1>:익숙한 그림자를 쫓아 섀도리스는 접객실 밖으로 급히 뛰쳐나갔지만, 아무 흔적도 찾을 수 없었다.
NPC-Shadowless(6)<Speaker></Speaker>||:......
()<Speaker></Speaker>||:놓쳤다는 생각에, 그녀는 분한 눈빛으로 텅 빙 복도 끝을 노려보았다.
()<Speaker>조수</Speaker>||:섀, 섀도?!+어휴 깜짝이야... 뭐야? 무슨 일이길래 갑자기 뛰쳐나왔어?+그레이 박사님한테 우리 인상 나빠지면 어떡하려고 그래!
()<Speaker></Speaker>||:취재 보조역인 조수가 헐레벌떡 섀도리스를 쫓아와, 가쁜 숨을 몰아쉬며 그녀에게 한소리했다.+섀도리스는 시선을 돌려 조수에게 사과했다.
NPC-Shadowless(8)<Speaker>섀도리스</Speaker>||:미안, 방금 아는 사람을 본 것 같아서...+왜, 나 나가는 거 보고 뭐라 했어?
NPC-Shadowless(8)<Speaker>조수</Speaker>||:응? 아니, 딱히 뭐라진 않으셨는데...
NPC-Shadowless(8)<Speaker>섀도리스</Speaker>||:그래? 정말 교활한 사람이네.
NPC-Shadowless(8)<Speaker>조수</Speaker>||<震屏>:섀도!
()<Speaker></Speaker>||:조수가 눈을 부릅 떴다.
()<Speaker>조수</Speaker>||:박사님한테 그게 무슨 소리야!
NPC-Shadowless(8)<Speaker>섀도리스</Speaker>||:에리, 너도 훌륭한 기자가 되고 싶다면 유명인의 오라 아래에 가려진 본모습을 꿰뚫어 볼 줄 알아야 해.
NPC-Shadowless(8)<Speaker>조수</Speaker>||:하, 하지만 그레이 박사님은 누가 봐도 좋은 분이신걸...+그리고, 더 저렴한 항붕괴 백신이 필요한 건 사실이잖아.+갈라테아가 해낸다면, 사람들에게도 희망찬 이야기 아니야?
NPC-Shadowless(8)<Speaker>섀도리스</Speaker>||:개개인의 도덕관념은 그들의 레벨에선 아무 짝에도 쓸모 없어.+닥터 그레이가 어느 편인지는 둘째 치고, 그 사람은 정말 똑똑해. 우리 같은 기자들이 가장 듣고 싶은 말이 뭔지 잘 알고 있어.+여론의 호감을 얻는 방법은 두말하면 잔소리고.+지금의 지위와 명성을 얻은 건 결코 얼굴이 예뻐서만이 아니야.
NPC-Shadowless(8)<Speaker></Speaker>||:섀도리스는 양손을 코트 주머니에 푹 쑤셔넣고, 접객실에 고개를 기웃했다. 평범한 여느 기자답지 않은, 마치 모든 걸 꿰뚫어 보는 듯한 예리한 눈빛이었다.
NPC-Shadowless(8)<Speaker>섀도리스</Speaker>||:"이둔"이 정말 효과적일 수도 있지. 하지만... 그 먹음직스런 케이크를 전부 나누기 전엔, 그게 진정으로 필요한 사람들은 냄새조차 맡지 못할 거야.+꼭 기억해, 에리. 진실을 파헤치고 폭로하는 것이 매스컴의 사명이야.+우리 같은 사람들은 보고 듣는 모든 걸 우선 의심해봐야 해.+대중에겐 진짜 어떤 상황인지를 알려 줘야 해, 그들이 알고 싶은 것만 보여주는 게 아니라.
NPC-Shadowless(8)<Speaker>조수</Speaker>||:...섀도는 역시 너무 어둡다니까.+현실을 바라보는 시각이 너무 비관적이야.
NPC-Shadowless(8)<Speaker>섀도리스</Speaker>||:이게 현실인걸 어쩌겠어.+기업과 정부는 다 한통속인걸.+화려한 겉모습에 속으면 안 돼, 에리. 우리가 믿을 사람은 우리 자신밖에 없어.
NPC-Shadowless(8)<Speaker></Speaker>||:다른 동료들이 장비를 정리하고 방에서 나오는 걸 본 섀도리스는 조수에게 손짓했다.
NPC-Shadowless(8)<Speaker>섀도리스</Speaker>||:돌아가자.
()<Speaker>조수</Speaker>||:응...
()<Speaker></Speaker>||:취재진은 이런저런 잡담을 하며 정문으로 나갔다. 섀도리스는 그들의 가장 뒤에서 느릿느릿 걷다가, 갑자기 발을 멈추곤 홱 뒤로 돌아 복도 끝자락을 주시했다.
()<Speaker>조수</Speaker>||:섀도? 왜 그래?
NPC-Shadowless(8)<Speaker>섀도리스</Speaker>||:...아무것도 아니야. 얼른 가자.
()<Speaker></Speaker>||:취재진이 떠난 후, 섀도리스의 시선이 향했던 구석에서 라이트가 슬쩍 몸을 내밀었다.
NPC-Light(3)<Speaker>라이트</Speaker>||:후우... 감 좋은 건 여전하네.
NPC-Light(3)<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:삐빅.
NPC-Light(3);NPC-Ange(2)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>야 꼬맹이, 너 지금 어디야?</color>+<color=#00CCFF>일 끝났으니까 얼른 튀어 와.</color>
NPC-Light(3)<Speaker>라이트</Speaker>;NPC-Ange(2)||:아, 네. 금방 가겠습니다.
NPC-Light(3)<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1><黑屏1>:통신기를 끄고, 라이트는 얼굴을 긁적였다.+설마, 정말 들키진 않았겠지?+다소 불안한 마음을 품고, 그는 다시 감시 카메라의 사각지대로 사라졌다.
