()||<BIN>10</BIN>:<color=#fff775>[도움말] 원활한 게임 진행을 위해 이어지는 스토리 가이드를 자세히 읽어주시기 바랍니다.</color>
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:여기도 정리됐어!
K2(0)<Speaker>K2</Speaker>||:대단해, 클리어!
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:더 칭찬해줘, 기분이 좋으니까!
AEK999(0)<Speaker>AEK999</Speaker>||:애초에 네가 일으킨 말썽이었잖아.+다시 한 번 묻지만, 페일이랑 클리어는 정말로 다른 사람이야?
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:적어도 내 생각엔 페일과 나는... 별개의 영혼이야. +우린 서로 겹친 점도 있지만, 확실히 다른 점도 있어.
TMP(0)<Speaker>TMP</Speaker>||:어쩌면, 두 사람을 완전히 분리할 방법이 있을 수도 있어요.
M950A(0)<Speaker>M950A</Speaker>||:그거 진심이야? 페일이 지금까지 일으킨 문제를 생각하라고.
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:물론 페일은 자신이 저지른 잘못에 대해 대가를 치러야겠지만 +나는... 페일의 존재 자체가 잘못이라고 생각하지는 않아.
Thunder50(0)<Speaker>썬더</Speaker>||:더 이상 요정들에게 손을 대지 않는다면.
M950A(0)<Speaker>M950A</Speaker>||:그리고 나에게도 말이지, 흠.+진심으로 우리와 친구가 되길 바라고 있다면 뭐, 나도 상관없어.
K2(0)<Speaker>K2</Speaker>||:오케이, 우린 일단 더 가보자고, 이번 순서는 누구의 봉인이려나!
()||:<color=#fff775>[도움말] 이 앞의 전투는 일반 전투와는 완전히 다르므로, 이어지는 설명을 자세히 읽어주시기 바랍니다.</color>+<color=#fff775>먼저, 돌발 상황을 방지하기 위해 [자동 스킬] 기능을 미리 꺼주시고, 게임 [옵션 - 음향]에서 배경음을 켜주시기 바랍니다. </color>+<color=#fff775>노트가 떨어져서 수평선에 닿는 순간, 정확히 해당하는 인형의 스킬 아이콘을 누르면, 그에 따른 싱크로율을 얻게 됩니다. </color>+<color=#fff775>그렇지 않을 경우, 인형들이 피해를 입게 됩니다. </color>+<color=#fff775>음악이 끝날 때까지 모든 인형이 파괴되지 않는다면 전투에서 승리하게 됩니다. </color>+<color=#fff775>마지막으로 안내드립니다, 돌발 상황을 방지하기 위해 [자동 스킬] 기능을 미리 꺼주시고, 게임 [옵션 - 음향]에서 배경음을 켜주시기 바랍니다.</color>
