()||<BGM>BGM_Empty</BGM><BIN>41</BIN><火花><SE1>Battlefield</SE1>:우로보로스와의 전투가 마지막 단계로 접어들었다.
WeaverElite(3)<Speaker>우로보로스</Speaker>||:난 목숨 걸고 발버둥 치는 녀석이 싫지 않아. 반항하면 반항할수록, 더 재밌으니.+다만 아쉽게도... 넌 이미 한계에 다다른 것 같군, SR-3MP.
SR3MP()<Speaker>SR3MP</Speaker>||:하하... 아무래도 그 말대로네...+뭐라해도 이쪽 머릿수가 밀리니까...
WeaverElite(3)<Speaker>우로보로스</Speaker>||<SE1>Battlefield</SE1>:죽기 전에 나의 칭찬이라도 받고 싶은 건가?
WeaverElite(1)<Speaker>우로보로스</Speaker>||:하지만 유감이군. 네가 하는 짓은 아무 의미 없다.+네가 얼마나 해치우던 간에, 이 상황에는 아무런 영향도 끼치지 못하지.
SR3MP()<Speaker>SR3MP</Speaker>||:아무렴 어때... 어차피 널 쓰러뜨릴 생각이 아니니까...+걔가 올 때까지... 버틸 뿐이었어...
WeaverElite(3)<Speaker>우로보로스</Speaker>||:......!
()||:차분한 발소리와 함께, M4A1이 나타났다.
M4A1(0)<Speaker>M4A1</Speaker>||:안심하세요. 비효르...+지휘자로서, 제가 이 손으로 직접 오늘밤 전투의 막을 내리도록 하죠.
SR3MP()<Speaker>SR3MP</Speaker>||:에이 씨, M4A1...+내가 활약할 장면을 자꾸 뺏어가는 너희가 정말 싫어...+그래도... M99가 도망가게 해줬으니 봐주지 뭐...
M4A1(2)<Speaker>M4A1</Speaker>||:하하... 미안해요.+이제 더 이상... 폐를 끼치지 않을 테니까...
WeaverElite(3)<Speaker>우로보로스</Speaker>||:M4A1, 어째서 네가...
M4A1(0)<Speaker>M4A1</Speaker>||:왜 그렇게 놀라나요, 우로보로스?+내가 보고 싶었던 거 아니었어요? 찾으러 오는 수고를 덜어드린 것뿐이에요.
WeaverElite(3)<Speaker>우로보로스</Speaker>||:... 흥이 깨지는군.+네가 무슨 참신한 수작이라도 부릴 줄 알았건만, 고작 궁지의 몰린 쥐의 발악일 뿐이라니...
WeaverElite(1)<Speaker>우로보로스</Speaker>||<黑屏1><关闭火花>:다만 내 흥을 깬 이상, 더더욱 봐주지 않겠다.
M4A1()<Speaker>M4A1</Speaker>||<黑屏2><BIN>9</BIN>:그럼 어디 해보시죠, 우로보로스.+오늘 당신은 절 죽이게 되겠죠...+하지만 그 전에, 당신은 나를 두려워하게 될 거예요.
()||<SE2>Gunfight</SE2>:......+1시간 후.
M99()<Speaker>M99</Speaker>||<SE1>Battlefield</SE1>:M4 씨! M4 씨!+전장을 이탈하는 데 성공했어요! 지금 헬리안 씨와 합류 중이에요!
