()||<BIN>18</BIN><BGM>BGM_Sneak</BGM>:......안전구역으로 후퇴. 
IDW(0)<Speaker>IDW</Speaker>||:아, 저번에 우릴 도와줬던 인형!+우리 또 만났구냥! 
M4A1(0)<Speaker>M4A1</Speaker>;IDW(0)||:죄송합니다. 늦었네요. 다른 인형들은요? 
M4A1(0);IDW(0)<Speaker>IDW</Speaker>||:다들 괜찮다냥, 너희들이 마지막 제대다냥.+보아하니 다들 순조롭게 철수한 것 같다냥. 
M16(0)<Speaker>M16A1</Speaker>;IDW(0)||:여기 혹시 다친 인원이 있나? 우리도 손을 거들지. 
M16(0);IDW(0)<Speaker>IDW</Speaker>||:좋다냥, M82가 어디로 갔는지 모르겠다냥, 역시 나 혼자선 조금 무리였다냥.+정말 고맙다냥! 
M16(0)<Speaker>M16A1</Speaker>;IDW(0)||:괜찮아, 다들 그렇게 크게 다친 것 같진 않으니 일이 까다롭지는 않을 거야. 
M16(0);IDW(0)<Speaker>IDW</Speaker>||:그런가, 초격이 간보는 수준이라서 다행이다냥, 아무튼 갑자기 터져서 깜짝 놀랐다냥. 
M16(0)<Speaker>M16A1</Speaker>;IDW(0)||:그럼......아까의 그 철혈 병기에 대해 뭐 단서라도 있나? 
M16(0);IDW(0)<Speaker>IDW</Speaker>||:음......너무 빨라서 제대로 보지도 못했다냥.+하지만 지면에 남은 상흔으로 봐선, 직격당하면 분명 끝장이겠다냥. 
M16(0);M4A1(2)<Speaker>M4A1</Speaker>||:......
SOPII(2)<Speaker>M4 SOPMOD II</Speaker>;M4A1(2)||:M4, 왜그래? 
SOPII(2);M4A1(2)<Speaker>M4A1</Speaker>||<黑屏1>:별거 아니에요......+......그냥, 조금 소름이......+철혈......도대체 비밀을 얼마나 더 숨기고 있을까요? 
