()||<BIN>9</BIN><BGM>BGM_Empty</BGM><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>46</BIN><SE1>RunStep</SE1><BGM>BGM_Brain</BGM>:소녀는 겁에 질린 채 복도를 내달렸다.
()<Speaker></Speaker>||<SE1>Heartbeat</SE1>:이미 지칠 대로 지쳤지만, 멈출 수는 없었다.+본디 가족이었던 그림자가 소녀를 뒤쫓았다. 자상하기 그지없던 얼굴은 마치 괴물처럼 일그러져 있었다.+어떻게 하지, 어떻게 하지...+맞아, 아버지가 돌아가시기 전, 목숨이 위험해지면 지하실로 가라고 하셨어...+지푸라기라도 잡는 심정으로, 소녀는 남은 힘을 끌어모아 지하실로 달려갔다.+"그래..."+"이번 차례는 이 아가씨로구나..."+차갑고 두려우면서도, 저항할 수가 없는 매혹적인 목소리였다.+누구지? 지하 감옥에 누가 있는 거지? 소녀의 피가 그 매마른 얼굴에 튄 순간, 혼돈의 소리가 다시 울려 퍼진다...
TAC50(0)<Speaker>TAC50</Speaker>||<BGM>BGM_Empty</BGM>:어때요, SAT8 씨? 이번 핼러윈의 하이라이트는 이게 좋을까요, 아니면 다른 버전으로 바꾸는 게 나을까요?+조금 있으면 핼러윈이니까, 몇 가지 아이디어가 있어서 그런데, 괜찮으시다면...
TAC50(0);SAT8(0)<Speaker>SAT8</Speaker>||<BGM>BGM_Hello</BGM>:으, 으음... 확실히 분위기 있는 이야기네요.+듣기만 해도 등골이 오싹해질 정도예요...
TAC50(0)<Speaker>TAC50</Speaker>;SAT8(0)||:그럼 올해의 핼러윈 이벤트에 호러 요소로 넣어볼까요?+음향은 메이플 문에 소형 스피커를 다는 것으로 하고, 조명은――
TAC50(0);SAT8(0)<Speaker>SAT8</Speaker>||:그 열정에 감사드려요, TAC50 씨!+정말 좋은 아이디어네요! 괜찮다면 그걸 오프닝으로 해요!+하지만 그다음 건 저 혼자서 생각해보고 싶은데, 괜찮을까요?
TAC50(0)<Speaker>TAC50</Speaker>;SAT8(0)||:어... 그런가요?+아하~ 하긴, 제가 계획을 다 알아 버리면 이벤트 당일 때 재미가 없어지겠죠.+그럼 힘내세요, SAT8 씨. 도움이 필요하시면, 언제든지 저를 불러주세요!
TAC50(0);SAT8(0)<Speaker>SAT8</Speaker>||:네에, 정말 도움이 필요할 때 도망치지나 마세요!
TAC50(0)<Speaker>TAC50</Speaker>;SAT8(0)||<黑屏1>:하하, 물론이죠.
()<Speaker></Speaker>||<BIN>82</BIN><黑屏2><BGM>BGM_Empty</BGM>:SAT8과의 대화를 마치고, TAC50은 숙소로 돌아왔다.+잠깐 멍하니 있다가, 메이플 문을 손에 내려오도록 했다.
TAC50(0)<Speaker>TAC50</Speaker>||<BGM>BGM_Room</BGM>:SAT8 씨... 분명 다른 사람의 힘을 빌리지 않고 혼자서 어디까지 해낼 수 있는지 시험해보고 싶은 거겠지.+설날 때 누구누구 때문에 애써 만든 폭죽이 다 터져 버렸던 일도 있었다고 하니... 이번 행사로 다시 자신감을 되찾고 싶은 거야.
TAC50(0)<Speaker></Speaker>||:드론 메이플 문의 카메라 렌즈에 TAC50의 얼굴이 비쳤다.+시각 공유 모듈로 보여지는 얼굴과 렌즈에 반사되는 얼굴이 겹쳐진 것을 바라보다, 결국 버티지 못한 듯 어깨의 힘을 풀었다.
TAC50(0)<Speaker>TAC50</Speaker>||:이해는 가지만, 임무도 없는데 도울 일도 없으니 어째 불안해지기만 하네...+좀 더 많은 일을 하고 싶은데. 애초부터, 인형은 인간을 돕기 위해 만들어졌잖아?+할 일도, 휴면할 필요도 없는 시간엔 대체 뭘 하면 좋을까?+하아... 메이플 문, 넌 어떻게 생각해?
TAC50(0)<Speaker></Speaker>||:방은 조용할 뿐이었다.+TAC50은 손 위의 메이플 문을 다시 공중으로 띄웠다.
TAC50(0)<Speaker>TAC50</Speaker>||<黑屏1>:...드론한테 물어보다니, 나도 참 이상하네. 아니, 지휘관님도 이런 식으로 나와 대화하잖아?+휴우... 그냥 간식이나 먹으러 가야지. 메이플 시럽 와플이 괜찮겠다.+마지막으로 메이플 시럽을 섭취한지 벌써 7시간이나 지났어. 이러다간 마인드맵이 엉망이 되어 버릴 거야.+괜한 생각 말자. SAT8 씨가 정성 들여 행사를 준비하는 만큼, 나도 기대애 보답해야만 해!+그래, 오늘 밤 내 차례 때 멋진 모습을 보여주자!
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><BGM>BGM_Empty</BGM>:......+다시 7시간이 지났고, TAC은 낯선 어둠 속에서 시각 시스템을 가동했다.
()<Speaker></Speaker>||<BIN>40</BIN><睁眼><BGM>BGM_NightOPS</BGM>:적외선 스캔으로 홀로그램 지도를 머릿속에 그려봤지만, 의문만 커질 뿐이었다.+TAC은... 이벤트 도중 갑자기 이세계에 빠졌다.
TAC50(2)<Speaker>TAC50</Speaker>||:도시, 숲, 거리, 바다... 이런 요상한 조합은 현실에 거의 있을 수 없어. 즉, 여긴 전자 공간이겠네.+섣불리 움직이지 말고, 우선 무슨 일이 있었는지부터 떠올려 보자...+먼저 SAT8 씨가 MDR의 괴담이 깜짝 놀랐지?+그다음, 신호 연결 싱크로율 119.9%로 기능 이상이 발생했다는 시스템 알림이 떴고.
TAC50(2)<Speaker>？？</Speaker>||:...그리고 지금, 우린 여기에 있지.
TAC50(2)<Speaker>TAC50</Speaker>||:우리? 넌 누구야?
TAC50(2)<Speaker>메이플 문？</Speaker>||:네 머리 위를 봐, TAC50. 난 항상 위에서 널 지켜보고 있었어.
TAC50(2)<Speaker></Speaker>||:TAC50이 무언가에 홀린듯 고개를 들자, 공중엔 메이플 문이 떠 있었다.+명령을 내리지 않았는데도 드론의 카메라는 스스로 TAC을 향했고, 익숙한 겹쳐진 영상이 머리에 들어왔다.
TAC50(2)<Speaker>메이플 문？</Speaker>||:이제 내가 보여?
TAC50(2)<Speaker>TAC50</Speaker>||<震屏>:어...? 너, 자의식이 있었어...?+그럼... 여태까지 내 말을 듣고 있었던 거야?
TAC50(2)<Speaker>메이플 문？</Speaker>||:"핼러윈엔 귀신이 나온다", 맞지?+그러니까 이것도 오늘, 여기서 뿐이야.
TAC50(2)<Speaker>TAC50</Speaker>||:...무슨 뜻인지 알겠어.+그럼, 나한테 무슨 할 말이라도 있는 거야?
TAC50(2)<Speaker>메이플 문？</Speaker>||:따라와, TAC. 너에게 꼭 알려주고 싶은 게 있어.
TAC50(2)<Speaker>TAC50</Speaker>||:잠깐. 먼저 내 동료들에게 연락해야 해! 어쩌면 다들 여기에 있을지도 몰라.
TAC50(2)<Speaker>메이플 문？</Speaker>||:그렇다면?
TAC50(2)<Speaker>TAC50</Speaker>||:SAT8 씨는 아까 들은 괴담에 엄청 겁먹어서, 지금 혼자 이런 곳에 떨어졌다면 위험해.+빨리 찾아야 해.
TAC50(2)<Speaker>메이플 문？</Speaker>||:그 다음엔?
TAC50(2)<Speaker>TAC50</Speaker>||:그 다음?
TAC50(2)<Speaker>메이플 문？</Speaker>||<黑屏1>:가서... 네 도움을 거절하고, 네 아이디어를 무시한 인형을 지킨다고?
메이플 문？()<Speaker>메이플 문？</Speaker>||<BIN>9</BIN><黑屏2><黑屏1><BGM>BGM_Empty</BGM>:가서... 녀석을 찢어버려야 하지 않아?
TAC50(2)<Speaker>TAC50</Speaker>||<BGM>BGM_Danger</BGM>:......
TAC50(2)<Speaker></Speaker>||<SE1>Select</SE1>:TAC50은 뒤로 돌아, 총을 들어 자신의 드론을 겨누었다.
TAC50(2)<Speaker>TAC50</Speaker>||:너 대체 누구야! 메이플 문한테서 떨어져!
TAC50(2)<Speaker>메이플 문？</Speaker>||:진심으로 날 쏠 생각이야?+난 메이플 문이야. 오늘밤, 여기에서만 나타난 메이플 문.+난 언제나 네 말을 듣고 있었어. 그리고 너에게 알려주고 싶은 일도 있지.
TAC50(2)<Speaker>TAC50</Speaker>||:웃기지 마. 메이플 문은 항상 내 곁에 있었어. 네가 정말 메이플 문이라면, 내 생각을 모를 리 없다고!
TAC50(2)<Speaker>메이플 문？</Speaker>||:그건 오히려 네가 잘 알지 않아?
TAC50(2)<Speaker>TAC50</Speaker>||:아니야!+SAT8 씨는 내 아이디어를 무시한 게 아니야! 그저 혼자서 행사를 기획하고 싶었을 뿐이야!+당장 메이플 문한테서 떨어지지 않으면, 함께 박살 내 버리겠어!
TAC50(2)<Speaker></Speaker>||<SE1>Heartbeat</SE1>:"그건 안 된다"고 TAC50의 시스템이 오류를 뱉었다.+메이플 문을 파괴한다고 안에 깃든 정체불명의 의지를 정말 소멸시킬 수 있을지는 모른다. 그리고 태어났을 때부터 함께한 메이플 문을 정말 쏠 수 있을지도 장담할 수 없다.+알 수 없는 위험 앞에서, TAC50은 그저 허세로 상대를 위협할 수밖에 없었다.
TAC50(2)<Speaker></Speaker>||:......
TAC50(2)<Speaker>TAC50</Speaker>||:진짜 귀신이라도 상관없어.+오늘은 핼러윈이야. 귀신에 대한 대비책은 진작에 마련해놨어.+내 퇴마탄 맛을 보여줄까?+빨리 메이플 문한테서 떨어져! 안 나오면 진짜로 쏘겠어!
TAC50(2)<Speaker>？？</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:항복! 항복할게요――+그냥 장난 좀 쳐보고 싶었어요――
