()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<黑屏2><BIN>81</BIN><BGM>m_avg_casual</BGM>:......+조금 늦은 시각, 인형 카페.
GepardM1(6)<Speaker>게파드 M1</Speaker>||:......+이거, 자리 엄청 차지하네.
GepardM1(6);M1903(2)<Speaker>스프링필드</Speaker>||:그러게 말이에요, 지휘관님과 루이스 씨가 설마 이렇게 큰 삼나무를 구해 오실 줄은 몰랐어요.
GepardM1(6)<Speaker>게파드 M1</Speaker>;M1903(2)||:이렇게까지 해야 할 필요 있어? 바닥도 온통 흙투성이가 됐잖아.+지저분해.
GepardM1(6);M1903(2)<Speaker>스프링필드</Speaker>||:모양새도 너무 엉망이라 잔가지를 좀 더 정리해야겠어요. 후우... 청소하는 것도 고생이겠네요.+그래도, 꾸미고 나면 분명 멋진 크리스마스 트리가 되겠죠?
GepardM1(6)<Speaker>게파드 M1</Speaker>;M1903(2)||:그런 건 진짜 나무가 아니어도 만들 수 있잖아.
GepardM1(6);M1903(2)<Speaker>스프링필드</Speaker>||:맞는 말이지만... 그러면 좀 시시하지 않나요?+그나저나, 게파드 씨 오늘 아침부터 여기 계셨죠?+아무것도 안 하시던 것 같은데, 지루하진 않으세요?
GepardM1(6)<Speaker>게파드 M1</Speaker>;M1903(2)||:크리스마스를 끼고 모처럼 만에 즐기는 휴가니까, 느긋하게 지내고 싶어.+그리고 스프링필드가 타 주는 커피가 입맛에 맞거든.
GepardM1(6);M1903(2)<Speaker>스프링필드</Speaker>||:후훗, 칭찬 고마워요. 한 잔 더 드릴까요?
GepardM1(6)<Speaker>게파드 M1</Speaker>;M1903(2)||:응, 부탁해...
GepardM1(6);M1903(2)<Speaker>스프링필드</Speaker>||:네. 으음... 청소 끝내면 선물 구입 상황도 확인해야 하고, 오늘은 할 일이 산더미네요.+게파드 씨는 계속 여기 계실 건가요?
GepardM1(6)<Speaker>게파드 M1</Speaker>;M1903(2)||:응... 별일 없으면 쭉 있을 거야.+혼자 있는 것도 나쁘지 않아.
GepardM1(6);M1903(2)<Speaker>스프링필드</Speaker>||:알았어요, 그럼 제가 없는 동안 가게를 봐주시겠어요?
GepardM1(6)<Speaker>게파드 M1</Speaker>||<黑点1>:응...
NPC-Kalin(0)<Speaker>카리나</Speaker>||<黑点2>:스프링필드!+어라... 스프링필드 없어?
GepardM1(6)<Speaker>게파드 M1</Speaker>;NPC-Kalin(0)||:카리나... 스프링필드라면 일 있어서 방금 나갔어. 엇갈렸나 보네.
GepardM1(6);NPC-Kalin(3)<Speaker>카리나</Speaker>||:그래? 골치 아프게 됐네...
GepardM1(6)<Speaker>게파드 M1</Speaker>;NPC-Kalin(3)||:카리나도 바쁜 모양이네... 무슨 일이야?
GepardM1(6);NPC-Kalin(0)<Speaker>카리나</Speaker>||:나도 크리스마스 파티 준비 작업을 돕고 있거든. 지휘관님은 루이스한테 끌려가서 잔뜩 고생하셔서 드러누워 버리셨고.+그래서 내가 잠시 준비 작업 총괄을 맡게 됐어.
GepardM1(6)<Speaker>게파드 M1</Speaker>;NPC-Kalin(0)||:그렇구나... 그래서, 스프링필드한테 무슨 볼일이야?
NPC-Kalin(3)<Speaker>카리나</Speaker>||:저거 때문이야.
()||:카리나는 손에 든 서류로 카페 중앙에 세워진 삼나무를 가리켰다.
NPC-Kalin(3)<Speaker>카리나</Speaker>||:루이스랑 지휘관님이 엄청 고생해서 가져온 나무야.+뭐, 힘쓰는 작업은 당연히 루이스가 다 했지만 말이지.
