()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker>M4A1</Speaker>||<BIN>138</BIN><黑屏2><BGM>BGM_Room</BGM>:……
()<Speaker></Speaker>||:扣上了藤蔓式样的腿环，M4又站在镜子前仔细检查了一遍妆容。
M4A1(5)<Speaker>M4A1</Speaker>||:嗯！+看起来很完美。
M4A1(5)<Speaker>M4A1</Speaker>||:（加油，M4！）+（……你可以的！）
M4A1(5)<Speaker></Speaker>||<黑屏1>:就像准备进入战场，她给自己鼓舞着士气，似乎就要大展身手。+随后，坚定的目光落在了镜子一旁，摆在桌面上的那张相片，里面是四名神态各异的少女，其中就有M4腼腆的身影……
()<Speaker>M4A1</Speaker>||<黑屏2><黑屏1><BGM>BGM_Empty</BGM>:……+……要是有张全家福就好了。
()<Speaker></Speaker>||<黑屏2><BIN>139</BIN><BGM>BGM_Moon</BGM>:……
M16A1(1)<Speaker>M16A1</Speaker>||:哦，这可真是好酒啊！
M16A1(1)<Speaker></Speaker>||:M16将杯中之物一饮而尽，然后发出了舒爽的声音。
M4A1(5)<Speaker>M4A1</Speaker>;M16A1(1)||:舞会还没开始，可别把酒喝光了。
M4A1(5);M16A1(1)<Speaker>M16A1</Speaker>||:对我来说，拿到酒的那一刻，舞会就已经开始了。+不过我听说会场上有专门的酒水，那这些是哪里多出来的？
M4A1(5)<Speaker>M4A1</Speaker>;M16A1(1)||:看来你很喜欢。
M4A1(5);M16A1(1)<Speaker>M16A1</Speaker>||:嗯？
M4A1(5)<Speaker>M4A1</Speaker>;M16A1(1)||:咳咳！对了，舞会中间休息的时候，要不要到舞台这边来？
M4A1(5);M16A1(1)<Speaker>M16A1</Speaker>||:你打算登台表演吗？
M4A1(5)<Speaker>M4A1</Speaker>;M16A1(1)||:呃，那倒不会。
M4A1(5);M16A1(1)<Speaker>M16A1</Speaker>||:为什么，我以为你已经准备细致到可以拿出各种让我惊喜的东西呢。
M4A1(5)<Speaker>M4A1</Speaker>;M16A1(1)||:比起这个，我更希望大家能一起拍……
M4A1(5);M16A1(1)<Speaker>M16A1</Speaker>||:拍？
M4A1(5)<Speaker>M4A1</Speaker>;M16A1(1)||:啊，没、没什么！
M4A1(5);M16A1(1)<Speaker>M16A1</Speaker>||:哼？
M4A1(5);OTs14(6)<Speaker>OTs14</Speaker>||:M16。
M4A1(5);OTs14(6)<Speaker></Speaker>||:对话被突然出现的闪电打断，和闪电细语片刻之后，M16的表情变得认真起来。
M4A1(5);M16A1(1)<Speaker>M16A1</Speaker>||:这就出发吧。
M4A1(5)<Speaker>M4A1</Speaker>;M16A1(1)||:M16？+难道有敌情？
M4A1(5);M16A1(1)<Speaker>M16A1</Speaker>||:敌情？当然不，只是有人打算把宴会上预备的酒水喝个精光，我得去保护它们。
M4A1(5)<Speaker>M4A1</Speaker>;M16A1(1)||:可你不就是……
M4A1(5);M16A1(1)<Speaker>M16A1</Speaker>||:有什么事情等我回来再说，你先找SOP2她们去玩吧！
M4A1(5);M16A1(1)<Speaker></Speaker>||:M16将第二杯酒一口喝下。
M4A1(5);M16A1(1)<Speaker></Speaker>||:顺便，谢谢你的心意，M4。
M4A1(5)<Speaker></Speaker>||:放下酒杯，M16跟随闪电离开了。
M4A1(5)<Speaker>M4A1</Speaker>||:……
M4A1(5)<Speaker></Speaker>||:看着桌子上的空酒杯，M4感觉到了小小的开心。
M4A1(5)<Speaker>M4A1</Speaker>||:原来已经发现了啊，我特地准备的酒。
M4A1(5)<Speaker>M4A1</Speaker>||:……+但是……SOP2呢？+以她的性子，应该早就到这边来了的……
M4A1(5)<Speaker></Speaker>||:M4左右张望了一下，却并没有看到SOP2的身影。
M4A1(5)<Speaker>M4A1</Speaker>||<黑屏1>:（明明约好要一起活动，就算是穿礼服，应该也没有那么慢才对。）+……+（还是到附近转转吧。）
