()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker></Speaker>||<黑屏2><BIN>82</BIN><BGM>m_avg_casual</BGM><SE1>AVG_doorknock_wood</SE1>:笃笃。轻快的敲门声将M200惊醒了。+她匆忙结束了对自己心智的整理，小跑去打开宿舍的门。
M200(0)<Speaker>M200</Speaker>||:请进……诶？
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:嗨。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:你好，QBU88。请问有什么事吗？+难道是我有什么通知没收到……
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:倒也没有啦。我可以先进去吗？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||<黑点1>:好的，请进。
()<Speaker></Speaker>||<黑点2>:M200将QBU88迎进房间，关好了门。
M200(0)<Speaker>M200</Speaker>||:要喝点什么吗？
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:啊，有喝的！都是什么？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:有红茶、果汁、咖啡、牛奶、水果茶、姜茶、热可可和绿茶。还有甜酒酿，这个要煮一下……
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:打住，打住，水果茶就可以了。+你是打算和春田一起去开饮品店吗？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:不，只是学习冲泡各种饮料时买下的练习材料。+给，你的水果茶。
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:谢谢。+……好喝耶！这是什么牌子的？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:是我自己买散料配的，你喜欢的话我给你带一些吧。
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:谢谢！我喜欢这个酸甜的味道。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:所以，请问你来是……
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:刚才闪电不是发布了聚会的招募吗？+我看到你有任务所以说不能去了。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:啊，是的。
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:我们看了后台的数据，你是在聚会招募发布后接的任务。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:……
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:你以前从来不拒绝聚会的吧？+我感觉这事挺奇怪的，聚会上有你不想见的人？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:啊，不是的！+只是有一些个人的烦恼……
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:什么烦恼？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:啊……只是个人的思考，为这种无关紧要的小事麻烦别人不好的！+我自己可以处理的，没关系。
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:不说也能处理，说了说不定能更早解决。+不要怕麻烦我，我来就是为了解决事件嘛。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||<黑点1>:嗯……谢谢你。事情是这样的……
()<Speaker></Speaker>||<黑点2>:……+几分钟后。
QBU88(0)<Speaker>QBU88</Speaker>||:也就是说，你试图采访难民，但是被他们拒绝了。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:嗯……我想拍一些战后的素材，做一个纪录片备战今年的庆祝晚会。+但是，我拍到的东西除了废墟……就只有流离失所的人和他们悲伤的表情。
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:这不是理所当然的吗？战争本来就是破坏的活动吧。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:不是的。我们是安保公司吧，88？+我们的战斗，难道不是为了保护更多的人，让战争尽快结束、进入和平的时代吗？
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:嗯……这么说也没错啦。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:可是我们的战斗真的有意义吗？+不管怎么努力去击败敌人，还是会有流民和被卷入战争，无辜死去的人。+我们不是为了阻止战争而制造的人形，我们在进行战争……我们没法结束战争。+而且，我们还在制造新的痛苦。
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:但是放任那些人冲过我们的防线的话，肯定会有更多人为此受苦啊。+我们的战斗是有意义的。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:这么说也对……唉，说出来我就已经好很多了。+谢谢你，下次聚会我会去的！
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:那就好。+……等等，这样你不就赶不上这次聚会了吗？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:诶？虽然很遗憾，但是……
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:但是解决方案就放在面前啊。不过就是去击杀目标敌人罢了，我们两个人早点去，很快的！+我早就看那些废弃机甲不爽了，让它们在战区里多游荡两天，不如早点把它们干掉然后回来玩呢！
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:啊……嗯。+<color=#A9A9A9>我真的能这么快就再次参加战斗吗？</color>
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:你的任务地点是哪里，让我看看……+哦！3号战区离这里很近，走吧！
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:诶，现在立刻就动身吗？！
QBU88(0)<Speaker>QBU88</Speaker>||:兵贵神速！
()<Speaker></Speaker>||<黑屏1><SE1>RunStep</SE1>:不需要配合他人的步伐，两个人形飞快地跑向了目标地点……
()<Speaker></Speaker>||<黑屏2><BIN>98</BIN><BGM>BGM_Empty</BGM>:一小时后，三号战区。
QBU88(0)<Speaker>QBU88</Speaker>||<BGM>BGM_Room</BGM>:这些废弃机甲就是好搞啦，这样就完成任务了吧？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:是的。
M200(0)<Speaker></Speaker>;QBU88(0)||:M200放下枪，看着周围倒下的机械残骸。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:还好，它们不是某个人类的座驾……
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:就算是，它们也是人类进攻用的东西吧。+奇怪……我怎么找不到那片地方在哪儿了？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:88？你在找什么？
QBU88(0)<Speaker>QBU88</Speaker>||:秘密。
()<Speaker></Speaker>||:说完，她便继续在周围搜寻起来。
QBU88(0)<Speaker>QBU88</Speaker>||<BGM>BGM_Empty</BGM>:嗯……嗯……找到了！+M200，来这边。
M200(0)<Speaker></Speaker>;QBU88(0)||<BGM>GF_Memorial</BGM>:M200依言走过去，蹲下看QBU88指着的地方。+在残垣断壁之后，一片娇美的玫瑰花静静地开放着。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:……咦？这里怎么会有花？
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:我记得三号战区以前是黄区的植物培育所。+虽然被战火基本犁平了，但是也有这种小花圃逃过一劫。+我第一次来的时候这儿还没有花呢，研究员刚播下种子就被迫撤离了。+但是你看，现在也长得很好！
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:是因为我们守住了这里，所以才能留下吗？
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:是呀。只要我们的防线不后退，就会长出更多花的。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:……
M200(0)<Speaker></Speaker>;QBU88(0)||:M200全神贯注地望着这丛花。+在灰暗的天光下，在脏污的灰泥里，它们是那么脆弱，却也是那么鲜亮。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:在炮火犁过的地上，长出了新的生命……+我要把它拍下来！
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:拍吧拍吧，这里很安全，随便拍都可以。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:还会有其他地方能看见这样的花圃吗？
M200(0);QBU88(0)<Speaker>QBU88</Speaker>||:应该会吧……距离冲突点远些的地方说不定还有这样的花圃呢，用心找找总有。+要不我们再找找看？
M200(0)<Speaker>M200</Speaker>||:好！
()<Speaker></Speaker>||:M200拍着，QBU88找着，两人走遍了大半个3号战区。
QBU88(0)<Speaker>QBU88</Speaker>||<BGM>BGM_Empty</BGM>:啊，这边有花，M2——诶？
M200(0)<Speaker>M200</Speaker>||:诶，你在叫……QBU88！！
()<Speaker></Speaker>||<BGM>BGM_Danger</BGM>:一架半埋在土里的废弃机甲不知何时开始行动了。+或许是因为残留的机能还在运作，它一把抓住QBU88的身体，将她高高举了起来！
QBU88(0)<Speaker>QBU88</Speaker>||:救……救命啊！！
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:糟糕……
M200(0)<Speaker></Speaker>;QBU88(0)||:M200立刻放下相机，向机甲开枪。+然而匆忙间的攻击只在甲壳上留下了凹痕，并没有造成实质的伤害。+此时，周围的泥土纷纷颤动起来，更多的机甲从土地里站起。+在它们的包围下，身材娇小的M200甚至看不见天光。
M200(0)<Speaker>M200</Speaker>||:不行，这是我解决不了的……+呼叫闪电！呼叫闪电！！
OTs14(0)<Speaker>OTs14</Speaker><通讯框>;M200(0)||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>怎么了，M200？聚会的……</color>
OTs14(0);M200(0)<Speaker>M200</Speaker>||<震屏>:闪电小姐！请救救我们！！！
OTs14(0)<Speaker>OTs14</Speaker>;M200(0)||:<color=#00CCFF>……</color>+<color=#00CCFF>冷静一下，M200，发生什么事了？</color>
OTs14(0);M200(0)<Speaker>M200</Speaker>||:我们在3号战区遭遇了数量众多的废弃机甲，有的还残留着火力模块，QBU88被它们抓住了！+详细坐标已传输……请务必尽快！十分感谢！
M200(0)<Speaker>M200</Speaker>||<SE1>AVG_tele_disconnect</SE1>:<color=#A9A9A9>即使闪电小姐立刻动身，到这里也需要一段时间……我至少要拖住它们十分钟！</color>+<color=#A9A9A9>必须先击破关节部位，关节……糟糕，有装甲！</color>
()<Speaker></Speaker>||:几次射击终于吸引了机甲的注意，机甲一手握着QBU88，一手向M200抓来。+M200连忙停下，躲避它的攻击并且还击。
QBU88(1)<Speaker>QBU88</Speaker>||:唔……呃啊啊啊啊啊啊……
M200(0)<Speaker>M200</Speaker>;QBU88(1)||:糟糕……警戒状态会让它抓88抓得更紧……
M200(0)<Speaker></Speaker>||:M200下定了决心。+她停止逃跑，架起自己的枪，瞄准腿部机甲的薄弱处。+此刻她的心中没有危险，只有救下同伴的决心。+在机甲向她打来时，她也扣动了扳机。
M200(0)<Speaker></Speaker>||<SE1>AVG_rifle_finalshot_h</SE1>:嘭！
M200(0)<Speaker>M200</Speaker>||:……击中了！
()<Speaker></Speaker>||:机甲猛然跪了下去。然而，它立刻用另一条腿撑了起来……+而另外的机甲们则被这声枪响吸引，转头向M200走来。
M200(1)<Speaker>M200</Speaker>||:怎么会……
QBU88(1)<Speaker>QBU88</Speaker>||:它、它要走了……救命啊！它要带我去哪儿啊——
M200(1)<Speaker>M200</Speaker>||:再次对它的关节……糟糕……弹药用光了！
M200(1)<Speaker>M200</Speaker>||:机甲拖着一条腿往前挪动，沉重的拖拉声像在撕扯她的心脏。+而其他的机甲也正在封堵她的路线，分析系统正不断对她发出警报。+撤离！撤离！立即撤离！
M200(1)<Speaker>M200</Speaker>||:<color=#A9A9A9>难道说没有办法了吗……</color>+<color=#A9A9A9>不，88还在它们手上，我必须——</color>
()<Speaker>闪电的声音</Speaker>||<SE1>RunStep</SE1>:看到了！M200，闭眼！
M200(1)<Speaker>M200</Speaker>||<白屏1>:……！
()<Speaker></Speaker>||<白屏2><BIN>98</BIN><BGM>BGM_Empty</BGM>:M200毫不犹豫地闭上眼睛。+强光将她的眼皮照亮，待光芒退散，温暖的手掌盖上她肩头。
OTs14(0)<Speaker>OTs14</Speaker>||<BGM>BGM_Sunshine</BGM>:你还好吗，M200？
M200(1)<Speaker>M200</Speaker>;OTs14(0)||:还好……QBU88她……
M200(1);QBU88(1)<Speaker>QBU88</Speaker>||:我……灰……柳……
M200(1)<Speaker>M200</Speaker>;QBU88(1)||:好像撞坏了组件的样子……
M200(1);OTs14(0)<Speaker>OTs14</Speaker>||:先撤离吧，你们回基地。
M200(1)<Speaker>M200</Speaker>;OTs14(0)||:机甲数量太多了，我们的援军……
M200(1);M16A1BOSS(0)<Speaker>M16A1</Speaker>||:我们足够了，带她走。
M200(1)<Speaker></Speaker>;M16A1BOSS(0)||:对进入基地较晚的M200而言，这是她第一次正面面对M16A1。+想到对方一直以来的传说，M200选择了相信她。
M200(1)<Speaker>M200</Speaker>||:……好的，麻烦你们了。
M200(1)<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:M200扛起QBU88原路返回，留下闪电和M16处理局面。
M200(1)<Speaker>M200</Speaker>||<BGM>BGM_Sad</BGM>:<color=#A9A9A9>战斗……一直都是战斗。</color>+<color=#A9A9A9>依靠着同伴，我才能保护另一个和我同来的伙伴……我只有战斗是可取的地方吗？</color>
M200(1)<Speaker></Speaker>||:身后的枪响远去了，而M200的步伐慢慢停下。+她扛着QBU88，茫然地环顾这片狼藉的战场。+——就在这时，鲜亮的蓝色闯进了她的视野。+这里离刚才的战场不远，而一丛蓝色的玫瑰花就这样开放在道路的侧边。
M200(1)<Speaker>M200</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:蓝色的……奇迹。+如果我刚才逃跑的话，这里就会被毁掉……+……+太好了。
()<Speaker></Speaker>||<黑屏2><BIN>82</BIN>:……+几天后，宴会当日。
M200(0)<Speaker>M200</Speaker>||<BGM>BGM_Hello</BGM>:好，这样就剪辑完成了。虽然不知道一个聚会为什么要这么正式的开场，但是这样的制作水准应该没有问题！+……+<color=#A9A9A9>从几天前回来之后就没再见到88了……不知道她现在在做什么。</color>
M200(0)<Speaker></Speaker>||:M200沉默了一会儿，关闭了剪辑软件。
M200(0)<Speaker>M200</Speaker>||:<color=#A9A9A9>她应该是会去会场的吧。中国的人形都喜欢热闹，重视团队……不然也不会来找之前只是几面之缘的我。</color>+<color=#A9A9A9>……要不要去参加聚会呢？用摄影师的身份，应该也算参加了吧？</color>+<color=#A9A9A9>好想对她说我最近思考的结果……</color>
M200(0)<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>接到新的通讯请求。</color>
M200(0)<Speaker>M200</Speaker>||:咦？+你好，我是M200。
()<Speaker>QBU88</Speaker>||:<color=#00CCFF>M200！和我一起去宴会吧！</color>
()<Speaker>M200</Speaker>||:……宴会？
()<Speaker>QBU88</Speaker>||:<color=#00CCFF>我做了你的衣服，现在就来试试吧！</color>
()<Speaker>M200</Speaker>||:可是……
()<Speaker>QBU88</Speaker>||<SE1>AVG_doorknock_wood</SE1>:<color=#00CCFF>我已经在你门口了，开门——</color>
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:一连串的发展把M200打得头昏眼花。+她打开门，QBU88带着一件衣服冲了进来。
QBU88(6)<Speaker>QBU88</Speaker>||:来试试看！我专门给你做的。
M200(0)<Speaker>M200</Speaker>||<黑点1>:哦……啊……好的。
M200(3)<Speaker>M200</Speaker>||:你觉得怎么样？+我自己是觉得很合适。
QBU88(6)<Speaker>QBU88</Speaker>||:马马虎虎吧。
M200(3)<Speaker>M200</Speaker>||:马马虎虎？你觉得还不行吗？
QBU88(6)<Speaker>QBU88</Speaker>||:是我们的谦辞啦，是觉得可以的意思！+总之那就这么定了，晚上要来哦。
()<Speaker></Speaker>||:QBU88说完就离开了。+M200看着镜子里的自己，有点不好意思地拽了拽裙摆。
