()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>82</BIN><黑屏2>:......
()<Speaker></Speaker>||<SE1>AVG_doorknock_wood</SE1>:이른 아침, 그리폰 인형 숙소.
()<Speaker></Speaker>||<BGM>BGM_Hello</BGM>:노크 소리에 잠이 깬 M870은 화가 나 소리질렀다.
M870P(0)<Speaker>M870</Speaker>||:아침부터 어떤 놈이야?!+지갑이 아주 빵빵해서 벌금 좀 두둑하게 내고 싶은 거냐!
()<Speaker></Speaker>||:M870이 이불을 뻥 차고 일어나 문을 여니...+KSVK가 포즈를 취하고 있었다.
KSVK(4)<Speaker>KSVK</Speaker>||:좋은 아침이다, 운명에게 선택받은 행운아여.
M870P(0)<Speaker>M870</Speaker>||:KSVK... 내 잠을 방해한 이유를 설명할 기회를 주겠어.+납득 가는 이유 아니면 그 모자 속을 벌금 딱지로 가득 채워 버릴 거니까.
KSVK(4)<Speaker>KSVK</Speaker>||:화내지 말거라 M870, 흔치 않은 폭풍이 다가오고 있으니.+폭풍이 덮치기 전까진 그 속에서 무엇을 얻고, 또 무엇을 잃을지 아무도 모르지.
M870P(0)<Speaker>M870</Speaker>||:헛소리 작작하고 간결하게 말해.+시답잖은 농담이나 해대면 차 앞에다 범퍼 대신 묶어버리겠어.
KSVK(4)<Speaker>KSVK</Speaker>||:오늘, 모든 그리폰 인형들이 한데 모여, 영혼이 날뛰는 밤을 보낼 것이다!
M870P(0)<Speaker>M870</Speaker>||:마지막 경고야.
KSVK(4)<Speaker>KSVK</Speaker>||:오늘 밤, 담력 시합에서 인형들은 모두 공포에 쫓기게 될 거다. 두려움을 떨쳐낼 유일한 방법은, 다른 이들을 겁주는 것.+어쩌면 날이 밝기 전까지 어떤 인형도 돌아갈 길을 찾지 못할지도 모르지...
M870P(0)<Speaker>M870</Speaker>||:그러니까... 쓸데없는 헛소리를 빼면, 오늘 밤에 담력 시합을 연다는 거야?+이제야 좀 재밌는 얘기가 나왔네♪
KSVK(4)<Speaker>KSVK</Speaker>||<黑屏1>:듣자하니, 승자는 1년치 사이다를 얻을 수 있다고 한다.+자아, 운명의 인도에 따라 시합에 도전하거라!
()<Speaker></Speaker>||<Night><BIN>97</BIN><黑屏2><BGM>BGM_Empty</BGM>:그날 밤, 담력 시합이 정식으로 시작되었다.+M870은 목에 붙인 센서를 만지작거렸다.
M870P(0)<Speaker>M870</Speaker>||:규칙 설명도 쓸데없이 난잡하게 해서 괜히 시간만 낭비했네. 결론만 따지면 귀신 팀과 도전 팀으로 나뉘어서, 귀신이 사람을 많이 놀래킬 수록 높은 점수를 얻는다는 소리잖아.+그런데, 그걸 판단하는 기준이 목소리의 음량을 측정하는 거야?+진짜 멍청한 방법이네... 뭐, 그리폰 스타일이 다 그렇지.
()<Speaker></Speaker>||<BGM>BGM_stage5</BGM>:M870은 근처에서 부들부들 떨고 있는 인형을 노렸다.
M870P(0)<Speaker>M870</Speaker>||<黑点1>:후후후... 얼간이들아, 꽁무니 빠지게 도망쳐라!+지금 당장 쫓아가서 혼비백산하는 모습을 찍어 줄 테니까! 캬하핫!
()<Speaker></Speaker>||<Night><BIN>1</BIN><黑点2><BGM>BGM_Empty</BGM>:...30분 후.+이쑤시개를 문 채, M870은 나무 위에 드러누워 투덜댔다.
M870P(0)<Speaker>M870</Speaker>||:아아~ 시시해...+살짝 놀래켰을 뿐인데 다들 바로 사이다를 냉큼 바치기나 하고...+꺼——억.
()<Speaker></Speaker>||:M870은 두변을 두리번거렸지만, 아무도 없었다.
M870P(0)<Speaker>M870</Speaker>||:저 얼간이들이 유일하게 잘하는 건 줄행랑뿐이겠지.+하여간, 비명만 들으면 666번 국도 놈들처럼 쏜살같이 도망친다니까.
()<Speaker></Speaker>||<BGM>BGM_Sneak</BGM>:그때, 수풀 속에서 WA2000이 엉금엉금 기어나와, 나무 밑으로 다가왔다.
WA2000(4)<Speaker>WA2000</Speaker>||:다들 어디 간 거야? 반나절을 매복했는데 수확이 전혀 없잖아...
()<Speaker></Speaker>||:WA2000은 나무 밑에 서서 한숨을 내쉬었다.
WA2000(4)<Speaker>WA2000</Speaker>||:지난번 귀신의 집 행사 때, 지휘관 앞에서 창피하게 비명을 지르고 말았어...+이번에야말로 완벽한 활약으로 저번 일을 깔끔하게 잊게 만들 거야!+그냥 다른 애들을 놀래키는 일이잖아? 식은 죽 먹기라고...
()<Speaker></Speaker>||:그 광경을 본 M870은 물고 있던 이쑤시개를 뱉고 사악하게 씨익 웃었다.
M870P(0)<Speaker>M870</Speaker>||:그래, 오늘은 귀신 놀이하기 좋은 날이지...+모두 귀신인 척하니까, 나도 얌전하게 굴 필요가 없거든...
WA2000(4)<Speaker>WA2000</Speaker><Shake>||:무, 뭐뭐뭐뭐야? 거기 누구 있어?
()<Speaker></Speaker>||:WA2000이 당황하며 두리번거리는 모습을 보면서, M870 애써 웃음을 참으며 말을 이었다.
M870P(0)<Speaker>M870</Speaker>||:어머나... 내가 안 보이니? 여태껏 네 뒤에 있었는데...
WA2000(4)<Speaker>WA2000</Speaker><Shake>||:누, 누군진 몰라도 자자자장난치지 마...
()<Speaker></Speaker>||:WA2000이 천천히 고개를 뒤로 돌릴 때...+M870은 타이밍에 맞춰 나무에서 뛰어내렸다.
M870P(0)<Speaker>M870</Speaker>||:여깄잖아아아!!!
WA2000(5)<Speaker>WA2000</Speaker>||<震屏>:<size=50>꺄아아아아아아 귀신이다아아아아아아!!!</size>
()<Speaker>방송</Speaker>||<BGM>BGM_Empty</BGM>:<color=#FFFF00>귀신 팀의 WA2000, 아웃! 최종 점수 0점!</color>
()<Speaker></Speaker>||:M870은 걸음아 나 살려라 도망치는 WA200의 뒷모습을 흡족스럽게 구경했다.
M870P(0)<Speaker>M870</Speaker>||:푸히힛, 표정을 못 봐서 아쉬운걸.
()<Speaker></Speaker>||:그때, 또 다른 곳에서 터져나온 처절한 비명이 자아도취 중이던 M870의 주의를 끌었다.
M870P(0)<Speaker>M870</Speaker>||<黑点1>:오호라, 또 어디서 생쥐 한 마리가 내 무대에 슬금슬금 기어올라왔나 보구만?
()<Speaker>G36C</Speaker>||<BIN>9</BIN><黑点2><BGM>BGM_NightOPS</BGM>:<Size=55>꺄아아아아아 언니이이이이이이이!!!</Size>
()<Speaker></Speaker>||:G36C는 커다란 호박 껍질을 냅다 던지고서 부리나케 도망쳤고, PSG-1은 몸에 묻은 인공 혈액을 닦아냈다.
()<Speaker>PSG-1</Speaker>||<黑点1>:또 1점 추가. 이대로라면 우승은 따놓은 당상이네.
M870P(0)<Speaker>M870</Speaker>||<Night><BIN>1</BIN><黑点2>:피를 소품으로 썼네? 후후...+역시 얼간이들은 마인드맵을 오버클럭해도 그런 유치한 수단밖에 생각 못하는구나.
()<Speaker></Speaker>||:마침 저멀리 보이는 십자가 소품을 보고, M870은 한 가지 계략이 번뜩 떠올랐다.+그리고 바로 실행에 옮겨, PSG-1이 볼 수 없는 구석에 숨고 목을 눌러 한껏 목소리를 낮춰 말했다.
()<Speaker>M870</Speaker>||:<color=#DC143C>너도...</color>+<color=#DC143C>너도... 우리와 같은 편이니?</color>
PSG1(2)<Speaker>PSG-1</Speaker>||:누구야? 나와!
()<Speaker>M870</Speaker>||:<color=#DC143C>나도 나오고 싶지만... 상처투성이라...</color>+<color=#DC143C>그리고... 네 몸에서 나는 피 냄새를 맡으면 발작해서 널 놀라게 할까 봐...</color>
()<Speaker></Speaker>||:M870은 일부러 숨을 크게 들이마셨다.
()<Speaker>M870</Speaker>||:<color=#DC143C>흐음... 네가 먹고 남은... 찌꺼기의 냄새만 맡아도... 기분이 좋아지네...</color>
PSG1(2)<Speaker>PSG-1</Speaker><Shake>||:......
()<Speaker>M870</Speaker>||:<color=#DC143C>나의 동포야, 왜 말이 없니...?</color>
PSG1(2)<Speaker>PSG-1</Speaker>||:어... 급한 볼일이 생겨서...
()<Speaker>M870</Speaker>||:<color=#DC143C>이렇게 느긋한 밤에... 무슨 급한 일이 있어...</color>+<color=#DC143C>오늘은 핼러윈... 사냥감들 모두 방심해서 마음껏 사냥할 수 있는 날인데...</color>
()<Speaker></Speaker>||:PSG-1의 목소리가 떨렸다.
PSG1(2)<Speaker>PSG-1</Speaker><Shake>||:그, 그렇지? 그래서 사, 사냥감을 창고에 넣고 오려고...
()<Speaker>M870</Speaker>||:<color=#DC143C>기다려, 동포야. 적어도 내 부탁을 들어줘.</color>
PSG1(2)<Speaker>PSG-1</Speaker>||:무, 무슨 부탁...?
()<Speaker>M870</Speaker>||:<color=#DC143C>저기 있는, 보기만 해도 거슬리는 저 십자가... 난 저걸 치울 힘이 없어...</color>+<color=#DC143C>나 대신 저걸 치워 준다면, 내가 가진 것 중 제일 향기로운 혈주를 한 잔 줄게...</color>
PSG1(2)<Speaker>PSG-1</Speaker>||:......+도와 줄 수는 있지만, 혀, 혈주는 사양할게...
()<Speaker></Speaker>||:PSG-1는 전전긍긍하며 십자가가 있는 곳으로 갔다. 그 십자가에 걸린 수갑에는 핏자국이 묻어 있었다.
PSG1(2)<Speaker>PSG-1</Speaker>||:이 핏자국... 너희...가 아니라 우리 동포 거야?
()<Speaker>M870</Speaker>||:<color=#DC143C>맞아... 그 수갑은 일족의 배신자를 벌하기 위한 것이지...</color>+<color=#DC143C>열심히 사냥하지 않고, 팔자 좋게 놀기만 하는 미련한 흡혈귀들을 말이야...</color>+<color=#DC143C>그리고...</color>+<color=#8B0000>흡혈귀를 사칭하는 기만자들도.</color>
