()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<回忆><BIN>82</BIN><黑屏2><BGM>BGM_Hello</BGM>:이른 아침.+그리폰 인형 숙소.
PSG1(2)<Speaker>PSG-1</Speaker>||:박쥐 장식의 날갯짓 속도, 각 방향에서의 송곳니의 빛 반사도, 망토 옷깃의 각도... 완벽해.+이제 실전만 남았네.
()<Speaker></Speaker>||:PSG-1가 필승을 다지며 씨익 웃자, 뾰족한 가짜 송곳니가 눈부시게 번뜩였다.
m45(2)<Speaker>m45</Speaker>||:PSG-1 씨, 이번 시합 최우수상, 최신형 스마트 오븐을 부탁할게요!
PSG1(2)<Speaker>PSG-1</Speaker>||:걱정 붙들어 매, 시작하고 10분이면 끝나니까. 넌 골에서 기다리고 있기만 하면 돼.+맞다, 오늘은 쿠키에 설탕 더 넣어 줘. 흡혈귀도 움직이려면 당분이 충분히 있어야 해.
()<Speaker></Speaker>||<黑屏1>:거울에 비치는 흡혈귀의 모습을 한 번 더 훑어본 뒤, PSG-1은 담력 시합장으로 향했다.
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><回忆><黑屏2><BIN>88</BIN>:...어두운 창고.+작은 그림자가 살금살금 안으로 들어왔다.
FNFNC(2)<Speaker>FNC</Speaker>||<BGM>BGM_Sneak</BGM>:으으... 내 사탕... 어떻게 모은 건데, MG3한테 다 뺏겼어...+헤헤, 그래도 괜찮지롱! 더 맛있는 게 날 기다리고 있으니까~+오늘은 다들 그 담력 시합에 정신이 팔렸으니까, 모~올래 초콜릿 몇 개 슬쩍해도 눈치채지 못할 거야.
()<Speaker></Speaker>||:한두 번 해본 솜씨가 아닌 듯, FNC는 노련한 발걸음으로 선반에 놓인 초콜릿이 담긴 상자를 향해, 탐욕의 마수를 뻗었다...
FNFNC(2)<Speaker>FNC</Speaker>||:...어라? 왜 텅 비었지?
()<Speaker></Speaker>||<BIN>89</BIN>:갑자기 창고의 전등이 켜지더니, PSG-1이 들이닥쳤다.
PSG1(2)<Speaker>PSG-1</Speaker>||:FNC! 또 초콜릿 훔치러 왔어?+어젯밤에 비축해둔 거 전부 네가 먹어 치웠다고 했잖아.
FNFNC(2)<Speaker>FNC</Speaker>||:그게 무슨 소리야!? 나, 난 어제 여기 온 적 없어! 생인형 잡지 마!
()<Speaker></Speaker>||:항변하는 FNC를, PSG-1은 왠지 모르게 착잡한 표정으로 응시했다.
PSG1(2)<Speaker>PSG-1</Speaker>||:......FNC.+최근에, 기지에서 일어난 이상한 사건에 대해서 들어본 적 있니...?
FNFNC(2)<Speaker>FNC</Speaker>||:응? 무, 무슨 사건...?
()<Speaker></Speaker>||:PSG-1은 FNC에게 다가가, 그녀의 귓가에 무어라 소곤거렸다.+무슨 말을 들었을까, 얼굴이 창백해진 FNC가 천천히 아래를 보자, 발밑에는 걸쭉하고 검붉은 액체가 퍼지고 있었다...
FNFNC(2)<Speaker>FNC</Speaker><Shake>||:<size=50>후에에에에에엥!!</size>
