()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker></Speaker>||<黑屏2><BIN>8</BIN><BGM>BGM_Hello</BGM>:格里芬基地。
OTs14(0)<Speaker>OTs14</Speaker>||:今天指挥官告假，由我协助格琳娜小姐主持一下例会。
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:好耶——
OTs14(0)<Speaker>OTs14</Speaker>||:那么，首先来对一下近期的工作进度吧。+最近我们没有战斗任务，只负责基地内的工作即可。那么，从我开始。
OTs14(0)<Speaker></Speaker>||:闪电开始了不算漫长的报告，每一份工作她都熟记于心，不需要事先写稿，因而有机会看到每个人的表情。
OTs14(0)<Speaker>OTs14</Speaker>||:关于此前的地方警戒行动，我们需要一批有企业安保经验的人形做特别行动工作……
()<Speaker></Speaker>||:AR小队的各位认真地听着，M200也在认真做笔记。
NPC-Kalin(0)<Speaker>格琳娜</Speaker>||:关于最近后勤部的预算溢出问题，经过和春田小姐的讨论，现在大概拟出了以下几项方案……
()<Speaker></Speaker>||:KSVK、QBU88和Zas M76一边听一边看自己手下的纸，应该是在等待报告工作。
OTs14(0)<Speaker>OTs14</Speaker>||:关于接下来这段时间的排班……
()<Speaker></Speaker>||:而M1911和Saiga……
OTs14(0)<Speaker>OTs14</Speaker>||:M1911，你对我的工作有什么疑问吗？
M1911(0)<Speaker>M1911</Speaker>||:我……
OTs14(0)<Speaker>OTs14</Speaker>||:你？
M1911(0)<Speaker>M1911</Speaker>||<震屏>:我受不了啦！！！！！
()<Speaker></Speaker>||:众人形吓了一跳，纷纷侧目。
M1911(0)<Speaker>M1911</Speaker>||:加班！加班！加班！+最近一直都在加班！我都快变成物流公司的员工了！+睡衣派对也取消！团建旅行也取消！大胃王比赛也黄掉！+一点娱乐都没有！这样怎么过得下去！
NPC-Kalin(0)<Speaker>格琳娜</Speaker>||:呃……最近没有战斗，不是好事情吗……
M1911(0)<Speaker>M1911</Speaker>||:都这么和平了！再不办活动！我现在就心智解体给你们看——！！！
NPC-Kalin(0)<Speaker>格琳娜</Speaker>||:冷静啊！！！
M1911(0)<Speaker></Speaker>||:M1911忽然被拉了一下，于是看向身边不知何时坐正了，一脸正气凛然的Saiga-12。+Saiga露出笑容，捏捏M1911的手掌。
M1911(0)<Speaker>M1911</Speaker>||:……
OTs14(0)<Speaker>OTs14</Speaker>||:我理解你想要表达自己的诉求。+但是，在例会上公然走神和大喊大叫是违背条例的。+下不为例。
M1911(0)<Speaker>M1911</Speaker>||:……太无聊了嘛。
()<Speaker></Speaker>||<黑点1><BGM>BGM_Empty</BGM>:M1911坐回了原位。+小小的骚乱后，例会有条不紊地结束了。
()<Speaker></Speaker>||<黑点2><BGM>m_avg_casual</BGM>:又过了两分钟，Saiga出现在例会会场的门前。
Saiga12(0)<Speaker>saiga12</Speaker>||:Saiga-12报到。
Saiga12(0);OTs14(0)<Speaker>OTs14</Speaker>||:请进。你知道我找你来的原因吗？
Saiga12(0)<Speaker>saiga12</Speaker>;OTs14(0)||:报告，不知道。
Saiga12(0);OTs14(0)<Speaker>OTs14</Speaker>||:真的不知道吗？我再给你一次机会哦。
Saiga12(0)<Speaker>saiga12</Speaker>;OTs14(0)||:呃……因为我刚才在云图里打游戏。
Saiga12(0);OTs14(0)<Speaker>OTs14</Speaker>||:你是精英，我当着大家的面给你留了面子，现在是你报答我的时候了。
Saiga12(0)<Speaker>saiga12</Speaker>;OTs14(0)||:你是说……
Saiga12(0);OTs14(0)<Speaker>OTs14</Speaker>||:我也不是不能谅解大家。+最近战争告一段落，我们也只是在做战场清理这样的小事，大家都感觉空落落的。
Saiga12(0)<Speaker>saiga12</Speaker>;OTs14(0)||:的确是这样。
Saiga12(0);OTs14(0)<Speaker>OTs14</Speaker>||:我计划举办一场聚会，你先来帮我参谋一下吧。
Saiga12(0)<Speaker>saiga12</Speaker>;OTs14(0)||:啊……我就知道。+聚会啊，那就要有吃喝，有玩的，食物的品类要齐全，谁都能找到爱吃的东西……
Saiga12(0);OTs14(0)<Speaker>OTs14</Speaker>||:而且要避免因为食性不同闹矛盾。
Saiga12(0)<Speaker>saiga12</Speaker>;OTs14(0)||:<Size=25>食性不同，这是在说什么动物吗……</Size>
Saiga12(0);OTs14(0)<Speaker>OTs14</Speaker>||:我听见了哦。只是方便的形容，不要在意太多。
Saiga12(0)<Speaker>saiga12</Speaker>;OTs14(0)||:那就是要分区吧。还得定一下入场的规矩，垃圾不能乱扔，吃完剩下的东西统一放置……
Saiga12(0);OTs14(0)<Speaker>OTs14</Speaker>||:的确需要一些规矩。+还有聚会的流程最好还是现在就有框架，剩下的等一会儿喊大家一起做。
Saiga12(0)<Speaker>saiga12</Speaker>;OTs14(0)||:让大家都参与？
OTs14(0)<Speaker>OTs14</Speaker>||:这样才有参与感啊。
()<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:两人拟定了一个初步的计划，将聚会的基本环节和礼仪规定发送出去。
()<Speaker>闪电</Speaker>||<BIN>72</BIN><黑屏2><BGM>GF_20HW_Scene_BPM82_loop</BGM>:各位，我想举办一个聚会，基本的流程如下。+有人想来帮忙吗？结束后有特别的纪念礼品哦。
()<Speaker>QBU88</Speaker>||:<color=#00CCFF>有礼品？我来了！我可以负责的活儿很多！</color>
()<Speaker>Zas M76</Speaker>||:<color=#00CCFF>我可以负责流程计划。</color>
()<Speaker>RO635</Speaker>||:<color=#00CCFF>难得的和平纪念呢，我也来吧。</color>
()<Speaker>M4 SOPMOD II</Speaker>||:<color=#00CCFF>我也要来！</color>
()<Speaker></Speaker>||:……+不少在基地里待命的人形响应了这个计划。+在闪电的引导下，基本框架很快敲定，人形们各自展开了行动。
()<Speaker>M200</Speaker>||:<color=#00CCFF>聚会的时间已经定下了吗？</color>+<color=#00CCFF>抱歉，我刚好有任务……希望大家玩得开心。</color>
()<Speaker></Speaker>||:闪电望着M200的消息片刻，点开了QBU88的窗口。
()<Speaker>闪电</Speaker>||:QBU88，你在吗？+我有一些事情想拜托你。
()<Speaker>QBU88</Speaker>||:<color=#00CCFF>我有空，不过是什么事要找我？聚会的布景吗？</color>
()<Speaker>闪电</Speaker>||:不是。M200今天看起来状态不对，我想拜托你去问问她的状况。
()<Speaker>QBU88</Speaker>||:<color=#00CCFF>可我和她也不熟……没问题吗？</color>
()<Speaker>闪电</Speaker>||:你和她的外表年龄相近，而且在我看来，你是最注重团队精神的人，在这件事上会比他人更擅长。
()<Speaker>QBU88</Speaker>||:<color=#00CCFF>说的也是啦……</color>+<color=#00CCFF>那我去试试吧，聚会得大家热热闹闹地一起去才有意思。</color>
()<Speaker></Speaker>||<黑屏1>:<color=#00CCFF>通话结束</color>
OTs14(0)<Speaker>OTs14</Speaker>||<黑屏2><BIN>82</BIN>:那么，接下来就是详细的计划阶段了……+等指挥官回来之后要报备一声。还有格琳娜小姐那边……要做的事情还有很多啊。
()<Speaker></Speaker>||<黑屏1>:闪电放下纸笔，决定到预定的会场附近去看看。
()<Speaker></Speaker>||<BIN>138</BIN><黑屏2>:这里已经有很多人在了，M1911和Zas M76商量着计划，KSVK在主干道旁划线，似乎是想要设立额外的什么东西。+闪电看了一圈，便和M16A1等人商量起细节来。
RO635Mod(0)<Speaker>RO635</Speaker>||:……那么，入场守则就这么定下了。
M16A1BOSS(0)<Speaker>M16A1</Speaker>||:不知不觉已经天黑了啊……今天就到这里吧。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:好。辛苦你们了，明天见。
RO635Mod(0)<Speaker>RO635</Speaker>;OTs14(0)||:明天见。
OTs14(0)<Speaker>OTs14</Speaker>||:你不回去休息吗，M16？
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:我习惯了守夜，而且这些人没人看着的话，说不定会闹出大乱子的。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:你也很辛苦啊。
OTs14(0)<Speaker></Speaker>||:<color=#00CCFF>您有新的通讯请求。</color>
OTs14(0)<Speaker>OTs14</Speaker>||<SE1>AVG_tele_connect</SE1><BGM>BGM_Empty</BGM>:怎么了，M200？聚会的……
M200(0)<Speaker>M200</Speaker><通讯框>;OTs14(0)||<BGM>BGM_Danger</BGM><震屏>:<color=#00CCFF>闪电小姐！请救救我们！！！</color>
M200(0);OTs14(0)<Speaker>OTs14</Speaker>||:冷静一下，M200，发生什么事了？
M200(0);OTs14(0)<Speaker></Speaker><同时置暗>||:M16A1微微侧头，听着她们的通讯。
M200(0)<Speaker>M200</Speaker>;OTs14(0)||:<color=#00CCFF>我们在3号战区遭遇了数量众多的废弃机甲，有的还残留着火力模块，QBU88被它们抓住了！</color>+<color=#00CCFF>详细坐标已传输……请务必尽快！十分感谢！</color>
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||<SE1>AVG_tele_disconnect</SE1>:你看，果然会有麻烦。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:那就拜托你留在这里……
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:不，我和你一起去吧。+清扫战场，速度和稳定缺一不可。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||<黑屏1>:也是。走吧！
