()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>22</BIN><黑屏2>:......
()<Speaker></Speaker>||:[인어 수색 작전, 시작 72시간 전.]
Type88(0)<Speaker>88식</Speaker>||:침착하자, 88식...+아직 72시간이나 남았으니까 문제없어.+겨우 긴급 구명 키드 하나 개발하는 거잖아. 식은 죽 먹기라고...
Type88(0)<Speaker>88식</Speaker>||<黑点1>:......발상만 제대로 떠오른다면.
()<Speaker></Speaker>||<黑点2><BIN>8</BIN>:...2시간 전.
()<Speaker>지휘관</Speaker>||<BGM>GF_Cafe</BGM>:이상이 이번 작전 관련 내용이다.+임무에 나가기 전에 서로 파트너의 얼굴을 익히도록.+해산!
Type88(0)<Speaker>88식</Speaker>||:후방 구조팀...+나 수영 못 하는데...
SPS(0)<Speaker>세르듀코프</Speaker>||:안녕, 88식.+내가 세르듀코프야. 잘 부탁해.
Type88(0)<Speaker>88식</Speaker>||:안녕하세요, 잘 부탁드려요!
SPS(0)<Speaker>세르듀코프</Speaker>||:너에 대해선 지휘관에게 들었어.+이번 임무는 쉬운 편이니까, 임무 개시 전에 내가 필요한 훈련을 도와줄게.+그러니까 너무 걱정 마~
Type88(0)<Speaker>88식</Speaker>||<黑点1>:네! 감사합니다...
Type88(0)<Speaker>88식</Speaker>||<黑点2><BIN>9</BIN><黑点1>:그래도, 세르듀코프 씨에게 의지하기만 하는 건 좋지 않아...+역시, 보조 장비를 준비해야겠어...
()<Speaker></Speaker>||<黑点2><BIN>22</BIN><BGM>BGM_Empty</BGM>:[인어 수색 작전, 시작 48시간 전.]
Type88(0)<Speaker>88식</Speaker>||<BGM>BGM_Hello</BGM>:안 되겠어... 벌써 24시간째야...+눈 좀 붙이면서 메모리 정리도 해야...
Type88(0)<Speaker>88식</Speaker>||:하지만, 아직 설계도 전혀 못 했는데...
Type88(0)<Speaker>88식</Speaker>||:......+조금만 더 참자.
()<Speaker></Speaker>||:[인어 수색 작전, 시작 36시간 전.]
Type88(0)<Speaker>88식</Speaker>||:ZzzZzzz...
()<Speaker></Speaker>||:결국 88식은 턱을 괸 채 잠들어 버렸다. 턱을 괸 팔은 점점 미끄러졌고, 그리고...
Type88(0)<Speaker>88식</Speaker>||:흐악!?+졸아 버렸잖아!
Type88(0)<Speaker>88식</Speaker>||:어떡해, 어떡해... 이제 36시간밖에 안 남았어!+이제 시간이 없어!
Type88(0)<Speaker>88식</Speaker>||:정신 차려, 88식! 빨리 설계도를 완성해야지!
()<Speaker></Speaker>||:[인어 수색 작전, 시작 18시간 전.]
Type88(0)<Speaker>88식</Speaker>||:휴우...+이제야 좀 윤곽이 잡혔네...+일단 이 초안대로 시험 제작해 보자.
Type88(0)<Speaker>88식</Speaker>||:...18시간밖에 안 남아서, 개선이나 테스트를 할 시간은 없겠네.+일단 할 수 있는 데까지 만들어야겠다.
()<Speaker></Speaker>||:[인어 수색 작전, 개시 6시간 전.]
Type88(0)<Speaker>88식</Speaker>||:좋았어, 긴급 구명 키트 완성. 장착해 봐야지.
()<Speaker></Speaker>||:피로로 몸도 제대로 못 가누는 88식은 탁상 위에 엎어진 채로, 자신이 만든 구명 키트를 들고 꼼꼼히 살펴보았다.
Type88(0)<Speaker>88식</Speaker>||:응, 연결구 이상 없음...
()<Speaker></Speaker>||:이리저리 돌려 보다, 손이 미끄러져 키트가 얼굴에 떨어지고 말았다.
Type88(0)<Speaker>88식</Speaker>||:아야! 아파라...+으으, 고장 나진 않았겠지...?
()<Speaker></Speaker>||:[인어 수색 작전, 당일.]
()<Speaker>지휘관</Speaker>||:88식, 여기에 있니?+출발할 시간이야!
Type88(0)<Speaker>88식</Speaker>||:ZzzzZz...
()<Speaker>지휘관</Speaker>||:88식...?+88식, 기상!
Type88(0)<Speaker>88식</Speaker>||<黑屏1>:음냐...?+지휘관님!? 출발하나요?+금방 갈게요...!
()<Speaker></Speaker>||<BIN>162</BIN><黑屏2><BGM>BGM_Empty</BGM>:......
()<Speaker>지휘관</Speaker>||<BGM>GF_Memorial</BGM>:다들, 여기서 이번 작전에 필요한 장비를 점검하도록.+준비가 끝나면 지정 장소로 이동한 뒤 맡은 임무를 수행하도록 해.+잠시 후 임무의 진전을 확인하겠어.
Type88(4)<Speaker>88식</Speaker>||:세르듀코프 씨라면 나 없이 혼자서도 임무를 잘 완수할 수 있겠지...+오히려, 내가 없는 편이 더 나을지도...
()<Speaker></Speaker>||<黑屏1>:한창 준비 중인 세르듀코프를 보면서, 88식은 나지막이 한숨을 쉬었다. 그리고 발길을 돌려, 모두와 정반대 방향으로 걸어갔다.+그리고 인적이 드문 구석을 찾은 88식은 버려진 골판지 상자 안에 숨었다.
()<Speaker></Speaker>||<黑屏2><BIN>9</BIN>:상자 안에 자리를 잡은 88식은 고생해서 만든 긴급 구명 키트를 꺼냈다.
Type88(4)<Speaker>88식</Speaker>||:......+과연 잘 작동할지는 모르겠지만...+이걸 써야 할 상황이 있기를 바라야 할지, 그럴 일이 없기를 바라야 할지...
()<Speaker></Speaker>||:88식은 긴급 구명 키트를 몸에 장착했다.
()<Speaker></Speaker>||:[긴급 구명 키트 장착.]+[시스템 동기화 중...]+[30%... 50%... 75%...]+[99%...]+[......]+[동기화 완료.]
Type88(4)<Speaker>88식</Speaker>||:장착 성공!+어쩌면 작동도 문제없을지도!
