()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:......
()||<BIN>166</BIN><Night><黑屏2><SE1>RunStep</SE1>:마치 무대의 스포트라이트처럼, 달빛이 부서진 콘크리트 벽과 어색하게 마주보는 인형들이라는 이 해괴한 광경을 비췄다.+그리고 웰로드가 무어라 입을 열기도 전에, 분홍 머리 인형이 눈살을 찌푸리더니 냅다 웰로드의 손을 잡고 내달렸다.
Welrod(0)<Speaker>웰로드</Speaker>||<BGM>GF_20HW_Scene_BPM82_loop</BGM>:윽?! 잠깐, 이게 무슨 짓이냐!
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||:소리가 너무 컸어! 공사장 사람들도 분명 들었을 거라고!
sub2000(5);Welrod(0)<Speaker>웰로드</Speaker>||:내가 누구 때문에 그랬는데!
NPC-PasserbyM(0)<Speaker>애꾸눈 인형</Speaker>;Welrod(0)||:까, 합...
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||:응, 나도 알아! 그러니까 서두르는 거야!
sub2000(5);Welrod(0)<Speaker>웰로드</Speaker>||:저걸 알아들어...?
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||<黑屏1>:감으로 대충!
()<Speaker></Speaker>||<BIN>86</BIN><Night><黑屏2>:거리를 지나고, 차도를 넘어...+인형들은 빈민가의 어느 골목길에 숨어들었다.
Welrod(0)<Speaker>웰로드</Speaker>||<BGM>BGM_Empty</BGM>:후우... 그럼 이제, 이게 어찌 된 일인지 설명해 주실까.
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||<BGM>BGM_Hello</BGM>:뭐야, 너 왜 아직도 있어?
sub2000(5);Welrod(0)<Speaker>웰로드</Speaker>||:네가 끌고 왔으니까!+...그리고, 너희 모두 상태가 안 좋아보이니 사정을 듣고 싶다.
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||:어... 그건 말하기 좀 어려운데...
NPC-PasserbyM(0)<Speaker>애꾸눈 인형</Speaker>;Welrod(0)||:크큭.
