()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:......
()||<黑屏2><BIN>86</BIN><BGM>m_avg_casual</BGM>:닷새 후, 어느 정도 정리된 골목길.
()<Speaker>쓱싹이</Speaker>||:다녀왔어!
Welrod(6)<Speaker>웰로드</Speaker>||:어서 와라. 어땠지?
Welrod(6)<Speaker>쓱싹이</Speaker>||:쓱싹이 오늘 시급 받았어! 여기 잔돈이랑 기름!
NPC-handyman(0)<Speaker>열쇠장이</Speaker>||:아, 기름은 나 줘. 벨보이 관절 수리해 줘야 해.
()<Speaker>쓱싹이</Speaker>||:응! 잔돈은 쓱싹이 뱃속에 저장할래! 크레딧보다 든든해!
sub2000(5)<Speaker>메시아</Speaker>;Welrod(6)||:정말... 네 말대로 됐네.
sub2000(5);Welrod(7)<Speaker>웰로드</Speaker>||:모두가 노력한 결과에, 운도 좋았다.+첫 시도에 바로 성공할 줄은 나도 예상치 못했어. 그게 아니었다면 다들 이렇게 빨리 의욕적이 되지 않았을 거다.
sub2000(5)<Speaker>메시아</Speaker>;Welrod(7)||:매일이 이렇게 잘 풀린다면――
sub2000(5);Welrod(0)<Speaker>웰로드</Speaker>||:아니, 아직 부족해.+쥐구멍에 겨우 볕이 들기 시작했을 뿐이다. 현상을 유지하는 걸로 만족해선, 언젠가 다시 사회에서 도태될 뿐이야.
sub2000(5)<Speaker>메시아</Speaker>;Welrod(0)||:그건 인간도 마찬가지 아니야? 그렇다고 우리가 인간처럼 양로원을 세울 수 있는 것도 아니고.
sub2000(5);Welrod(0)<Speaker>웰로드</Speaker>||<黑屏1><SE1>AVG_tele_connect</SE1>:그것도 나름 괜찮은 생각이군.+메시아, 이걸 봐라. 며칠간 조사한 결과, 이 근방은 사용되지 않는 땅이다.
()<Speaker>메시아</Speaker>||<黑屏2><BIN>39</BIN>:어디... 아, 도시 바깥의 황무지네.+여긴 옐로우존에 가까워서 확실히 인적이 드물어.
()<Speaker>웰로드</Speaker>||:그래, 옐로우존에서 멀지 않지. 하지만 정화탑이 가까이 있어 토질이 깨끗한 곳이다.+과일이나 야채를 비롯한 작물 상품은 가격이 꽤 높은 편이니, 이들이라면 재래식 농업도 가능성 있는 일이라 본다.
()<Speaker>메시아</Speaker>||:그러니까 네 말은... 정화된 땅에서 재배한 작물을 내다 팔고, 혹시 무슨 일이 생기더라도 옐로우존으로 도망치면 된다?
()<Speaker>웰로드</Speaker>||<黑屏1>:그래. 하지만 무단 점거하기보단 그곳의 사람과 교섭부터 해봐야겠지. 토양 개선을 명분으로 일자리를 구하기란 어렵지 않을 터다.
sub2000(5)<Speaker>메시아</Speaker>||<SE1>AVG_tele_disconnect</SE1><BIN>86</BIN><黑屏2>:왠지 잘 안 풀릴 거 같은데... 뭐, 한번 해보자.+너랑 열쇠장이가 가 봐.
NPC-handyman(0)<Speaker>열쇠장이</Speaker>||:엉? 안 돼, 나 사람 얼굴 보고 하는 일은 못해!
Welrod(6)<Speaker>웰로드</Speaker>||:다른 이들도 엄두가 안 나는 모양인데, 그렇다고 나 혼자 갈 생각은 없다.+메시아, 여기의 대표는 너잖나?
sub2000(5)<Speaker>메시아</Speaker>||:...알았어, 내가 가면 되잖아.+미리 말해 두겠는데, 무슨 일 생기면 난 아무 도움 안 되니까 네가 다 알아서 해결해야 해.
()<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:웰로드는 슬쩍 웃고, 메시아와 함께 교외로 향했다.
()<Speaker></Speaker>||<BIN>166</BIN><黑屏2><BGM>BGM_Hello</BGM>:1시간 후.+두 인형은 그 지역의 관리를 담당하는 회사에 도착했다.
Welrod(0)<Speaker>웰로드</Speaker>||:안녕하십니까, 면접 예약을 잡고 왔습니다만.
NPC-Bodyguard1(0)<Speaker>경비원</Speaker>;Welrod(0)||:아아, 웰로드 씨시군요. 잘 오셨습니다. 그리고 옆에 계신 분은 성함이?
NPC-Bodyguard1(0);Welrod(0)<Speaker>웰로드</Speaker>||:메시아라고 합니다.
NPC-Bodyguard1(0)<Speaker>경비원</Speaker>;Welrod(0)||<BGM>BGM_Empty</BGM>:메시아?
NPC-Bodyguard1(0)<Speaker></Speaker>;Welrod(0)||:그 이름을 들은 경비원의 표정이 기묘해졌다.
