()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:......
NPC-Kalin(3)<Speaker>카리나</Speaker>||<BIN>8</BIN><BGM>BGM_Room</BGM>:지휘관님, 정말 비존 혼자 보내도 괜찮겠어요?+정보에 따르면 최근 그 근방에 강도 무리가 나타났대요.
NPC-Kalin(3)<Speaker>지휘관</Speaker>||:겨우 100km 거리인데 뭘, 별 문제 없을 거야.+그리고 정말 강도가 나타나더라도, 비존이라면 손쉽게 해결할 수 있잖아.
NPC-Kalin(3)<Speaker>카리나</Speaker>||:그거 보고 "플래그"라 하는 거 아시죠?
NPC-Kalin(3)<Speaker>지휘관</Speaker>||:하하, 그런 클리셰가 정말 통한다면 아예 K5한테 지휘를 맡기는 게 낫지.
NPC-Kalin(3)<Speaker>카리나</Speaker>||:농담할 일이 아니잖아요!
NPC-Kalin(3)<Speaker>지휘관</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:그래 그래, 나도 알아. 따로 한 명 더 보냈으니까 안심해, 별일 없을 거야.
()||<黑屏2><BIN>187</BIN><BGM>BGM_Hello</BGM>:......+아직 오염이 심각하지 않은 황무지 위에서, 트럭 한 대가 조용히 움직였다.+트럭 앞좌석의 PP-19는 무릎에 어린 여자아이를 앉힌 채, 지루하단 표정으로 하염없이 창밖을 바라봤다.
NPC-PasserbyM(0)<Speaker>유리안</Speaker>||:바깥 풍경이 신기한가 봐?
pp19(0)<Speaker>pp19</Speaker>;NPC-PasserbyM(0)||:응, 이렇게 나쁜놈 하나 없는 황야를 보긴 드물거든.
pp19(0);NPC-PasserbyM(0)<Speaker>유리안</Speaker>||:허허, 아가씨처럼 대화가 제대로 이뤄지는 전투 인형은 처음이라 나도 희한한 느낌인걸.+게다가 단순히 주위 경계가 아니라 정말 흥미를 가지고 보는 거 같고 말이야.
pp19(0)<Speaker>pp19</Speaker>;NPC-PasserbyM(0)||:그런가? 내 회사 동료들 모두 개성적이라 희한하다 생각한 적 없었는데.+그나저나 아저씨는 PMC 고용한 게 이번이 처음이야?
pp19(0);NPC-PasserbyM(0)<Speaker>유리안</Speaker>||:맞아, 2년 동안 고생고생해서 지갑 사정이 좀 나아진 덕분이지.+예전같았으면 이렇게 뒤숭숭한 날엔 부랑자들한테 습격이라도 당하면 어쩌나 해서 트럭도 못 몰았다고.
pp19(0)<Speaker>pp19</Speaker>;NPC-PasserbyM(0)||:이상하네, 부랑자가 아무리 막무가내라도 어떻게 이런 트럭에 덤벼?
pp19(0);NPC-Shelley(0)<Speaker>셜리</Speaker>||:맞아요 아빠! 이상해요!
pp19(0);NPC-PasserbyM(0)<Speaker>유리안</Speaker>||:에이, 강도가 어떻게 정면으로 덤벼들겠어?+놈들이 얼마나 교활하고 악랄한데. 평범한 떠돌이랑은 비교도 안 돼.
pp19(0)<Speaker>pp19</Speaker>;NPC-PasserbyM(0)||:예를 들면?
pp19(0);NPC-PasserbyM(0)<Speaker>유리안</Speaker>||:도로에다 함정을 놓아서 타이어를 터뜨리고, 운전자가 내리는 순간 어디선가 튀어나와 물건을 털어 간다던가...+과장 좀 보태서 조난당한 탐험가 흉내를 내서 차를 얻어 타는 순간 총을 꺼낸다던가... 쓸데없이 창의력이 좋아서 절대 방심하면 안 되지.
pp19(0);NPC-Shelley(0)<Speaker>셜리</Speaker><Shake>||:우와, 무섭다! 아빠도 당한 적 있어?
pp19(0);NPC-PasserbyM(0)<Speaker>유리안</Speaker>||:하하하, 이 아빠는 운이 좋아서, 그런 일 있었으면 이렇게 우리 공주님 데리고 엄마 보러 가지도 못했어요.
pp19(0);NPC-Shelley(0)<Speaker>셜리</Speaker>||:그럼 아빤 맨날맨날 운이 좋아야겠다!
pp19(0);NPC-PasserbyM(0)<Speaker>유리안</Speaker>||:그래, 셜리를 위해서 아빠 힘낼게.
pp19(0)<Speaker>pp19</Speaker>;NPC-PasserbyM(0)||:정말 만난 적 없어? 말하는 게 마치 직접 봤다는 투인데.
pp19(0);NPC-PasserbyM(0)<Speaker>유리안</Speaker>||:놀랍게도 정말 없었어, 다 동업자들한테 들은 이야기야. 뭐, 적어도 목숨은 부지하고 돌아온 사람들의 이야기지만.
pp19(0)<Speaker>pp19</Speaker>;NPC-PasserbyM(0)||:생물 샘플이 그렇게 돈이 돼?
pp19(0);NPC-PasserbyM(0)<Speaker>유리안</Speaker>||:그야 물론이지, 붕괴 감염이 없는 산 것은 어디서든 아주 불티나게 팔린다고. 특히나, 이번 건 청정지대서 방목하던 거라 부르는 게 값이지.+다만 저 녀석들 성깔이 보통 더러운 게 아니라서, 운송하려고 차에다 태우는 것부터가 고난이었다니까.
