()||<BIN>8</BIN><黑屏2><BGM>BGM_Hello</BGM>:......+그리폰 기지 내부.
M1891(0)<Speaker>모신나강</Speaker>||:그러니까 말야, SVT 이것 좀 봐봐. 정말 웃기지 않니?+결국 참지 못하고 웃어버렸지 뭐야!
SVT38(0)<Speaker>SVT38</Speaker>||:모신나강, 어제 그런 상황에서 웃음이 나오는 건가...... 그건 매우 실례되는 행위다.+나였다면 분명 어떻게든 참았겠지.
M1891(0)<Speaker>모신나강</Speaker>||:네가 직접 그 고양이랑 지휘관 표정을 봤다면 그런 말 못 할걸!
()||:......
OTs14(0)<Speaker>OTs14</Speaker>||:......
SVT38(0)<Speaker>SVT38</Speaker>||:그 고양이는 어디로 갔지......?+누가 괴롭히거나 하진 않았겠지?
M1891(0)<Speaker>모신나강</Speaker>||:반대로 우리가 엄청 고생했는걸!+그 녀석을 잡겠다고 소대 전체가 뒤집혔다니까!
OTs14(0)<Speaker>OTs14</Speaker>||:......모신나강, 한마디만 해도 될까?
M1891(0)<Speaker>모신나강</Speaker>||<黑点1>:응......? 어...... 상관없는데?
OTs14(0)<Speaker>OTs14</Speaker>||<BIN>73</BIN><黑点2>:쓸데없는 이야기는 이쯤 하도록 하지.+모신나강, 그래서 무슨 일이 있었던 거지?
OTs14(0);M1891(0)<Speaker>모신나강</Speaker>||:......어라? 무슨 이야기인지 잘 모르겠는걸.+어제 들고양이가 지휘관한테 뛰어들어 브리핑이 중단됐던 일 말하는 거야?
OTs14(0)<Speaker>OTs14</Speaker>;M1891(0)||:아니, 나는 너에 대해서 묻고 있는 거다.
OTs14(0);M1891(0)<Speaker>모신나강</Speaker>||:......정말 모르겠는데, 전혀 감이 오질 않아.+좀 더 자세하게 얘기해줄 수는 없을까? 그럼 알 수 있을 것 같은데......
OTs14(0)<Speaker>OTs14</Speaker>;M1891(0)||:그렇군......+그래, 알겠다. 어쩌면 내가 착각했을 수도 있겠군.+이상한 질문을 해서 미안하다.
OTs14(0);M1891(0)<Speaker>모신나강</Speaker>||<黑屏1>:괜찮아, 혹시라도 뭔가 문제가 있다면 언제든 얘기해.
()||<BIN>82</BIN><黑屏2>:......
M1895(0)<Speaker>나강 리볼버</Speaker>||:......+모신나강, 선반 위의 물건 좀 집어줄 수 있겠는가?
M1891(0)<Speaker>모신나강</Speaker>||:어...... 아, 응. 위쪽에 있는 컵 말하는 거지?+정말이지, 누가 이런 걸 이렇게 높은 곳에 둔 건지 참...
M1895(0)<Speaker>나강 리볼버</Speaker>||:............
M1891(0)<Speaker>모신나강</Speaker>||:자, 받아. 컵 여기 있어.
M1895(0)<Speaker>나강 리볼버</Speaker>||:......응, 고맙구먼.
M1891(0)<Speaker>모신나강</Speaker>||:곧 회의가 시작될 테니, 난 먼저 회의실에 가 있을게.
()||:......모신나강이 떠났다.
M1895(0)<Speaker>나강 리볼버</Speaker>||:여보게들...... 요즘 모신나강이 좀 이상하다고 생각되지 않는가?
TT33(0)<Speaker>토카레프</Speaker>||:모신나강 씨 말인가요......?+제가 보기엔 평소랑 똑같은 것 같은데요?
SVT38(0)<Speaker>SVT38</Speaker>||:굳이 이상한 점을 말하자면......+평상시보다 더 밝아진 것 같은 느낌이라고 해야 할까요?
M1895(0)<Speaker>나강 리볼버</Speaker>||:바로 그거일세! 그게 문제라는 걸세!+모신나강은 분명 무슨 고민이라도 있는 것이 틀림이 없네! 저런 모습은 내 본적이 없구먼!
TT33(0)<Speaker>토카레프</Speaker>||:으음...... 역시 전 잘 모르겠어요......+하지만 나강 리볼버 씨가 그렇게 말한다는 것은, 착각이 아니라는 거겠죠?
M1895(0)<Speaker>나강 리볼버</Speaker>||<黑屏1>0.5</黑屏1>:내 오랜 경험으로 미루어 보아, 착각했을 리는 없네!+문제는...... 모신나강에게 무슨 일이 생겼냐는 것일세......+어째서 저렇게 변했을꼬......?
()||<BIN>80</BIN><BGM>BGM_Empty</BGM><黑屏2>0.7</黑屏2>:......+......어느날 깊은 밤.+카페의 문에서 가벼운 노크 소리가 울렸다.
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||<BGM>GF_Cafe</BGM>:들어오세요.
M1891(0)<Speaker>모신나강</Speaker>||:......+......저기 있지, 여기...... 아직 영업 중이야?
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:곧 휴식 시간이지만, 커피와 케이크 정도라면 드릴 수 있답니다.+자, 이쪽에 앉으세요 모신나강 씨. 주문은 뭐로 하시겠어요?
M1891(0)<Speaker>모신나강</Speaker>||:응...... 언제나 마시던 커피로 부탁해......
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:네, 금방 준비해드릴게요.+그런데 이 시간에 이곳에 들르는 분은 거의 없는데, 밤에 약속이라도 있는 건가요?
M1891(0)<Speaker>모신나강</Speaker>||:그런 건 아니고......+단지...... 잠이 오질 않는 것뿐이야.
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:잠이 오질 않는다고 하면서 커피라니...... 좋은 생각은 아닌 것 같네요.
M1891(0)<Speaker>모신나강</Speaker>||:괜찮아, 필요하면 일부 기능을 꺼두면 문제없어.
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:후후... 알겠어요.+조금만 기다려주세요.
()||:......
()||:스프링필드는 세척해둔 커피포트를 다시 꺼내서 능숙히 커피를 끓이기 시작했다.
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:♪~ ♬~
M1891(0)<Speaker>모신나강</Speaker>||:............+스프링필드......
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:네? 왜 그러시죠?
M1891(0)<Speaker>모신나강</Speaker>||:아......+아냐...... 아무것도......
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:자, 여기 주문하셨던 커피입니다.
M1891(0)<Speaker>모신나강</Speaker>||:......고마워.
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:뭔가 필요하신 게 있으시다면 이야기해주세요.
M1891(0)<Speaker>모신나강</Speaker>||:그래......+......+......스프링필드.
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:네? 말씀하세요.
M1891(0)<Speaker>모신나강</Speaker>||:그게..... 있지......+내가 요새...... 일이 좀 생겨서 말이지......+아, 다른 인형들과 관련된 문제는 아니고, 단지 나 혼자만의 사소한 고민거리이긴 한데......
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:............+네, 그럼 무슨 일인지 들려주시겠어요?
M1891(0)<Speaker>모신나강</Speaker>||:지휘관이 저번에 나한테 와서는 내가 마인드맵 업그레이드 대상자에 포함되어 있다고 하더라구......
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:그렇다면 좋은 일이 아닌가요?+전투 임무를 더욱 잘 수행해낼 수 있게 되어, 작전 효율을 높일 기회라고 보는데요?
M1891(0)<Speaker>모신나강</Speaker>||:그렇긴 한데...... 단지 그 개조 항목에 조금......+딱히 고강도 합금이나 택티컬 레일의 디자인이 꺼려진다든가 하는 건 아닌데......+단지, 그런 개조를 거치면 지금까지의 내가 아니게 될 것 같아서.+그동안 지켜왔던 혈통의 전승을 버려야 한다면, 그런 강화에 무슨 의미가 있는 걸까?......
